    GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
Charlie1b_Mars	1	0	2	4	1	0	0	2	20	3	2	13	5	10	2	4
Harlequin-int	106	110	190	186	46	33	97	98	799	554	1168	1293	2352	2342	1516	1655
(TATAA)n	34	19	72	37	15	8	23	14	184	80	58	98	148	93	54	161
(CACGT)n	0	0	0	0	0	0	1	0	11	6	0	0	0	0	0	0
MLT2A1	486	537	411	454	258	196	323	208	1796	1514	901	845	893	897	644	662
(TTAAA)n	6	2	6	11	3	0	2	2	26	7	17	7	26	7	10	13
SATR1	27	33	73	115	8	1	27	39	235	184	129	152	149	143	74	91
THE1C-int	263	295	396	392	99	70	144	91	745	688	495	526	631	543	394	421
AluYh9	29	35	46	20	9	16	17	8	67	89	66	54	58	67	55	59
(CTAGG)n	0	0	1	0	0	0	0	0	1	4	2	4	3	0	1	6
(TCCCG)n	1	3	4	0	1	0	1	0	8	4	3	1	5	6	3	0
(CGAAT)n	0	0	6	1	0	0	0	0	3	3	1	0	0	0	0	4
MER6C	38	34	31	19	27	12	25	20	159	110	60	64	81	69	73	85
MER70-int	48	58	21	55	27	32	55	25	233	215	82	88	82	114	90	121
MER88	15	10	12	11	6	3	11	4	43	45	32	12	16	36	16	14
HERV-Fc1_LTR2	5	7	0	5	1	1	5	1	24	15	2	3	1	2	5	4
LTR46-int	6	15	17	39	10	14	31	21	129	162	96	73	78	43	38	27
UCON16	1	2	7	0	0	0	2	0	14	3	5	4	3	5	2	3
L1PA8	1001	1049	1331	1297	421	312	643	447	3359	2623	2090	2114	2715	2380	1763	2124
HERV30-int	35	45	75	38	12	10	5	11	47	48	93	82	101	50	128	104
(CTTTG)n	1	1	0	0	0	1	1	0	7	3	5	3	0	4	3	7
L1PA6	1481	1456	2241	2486	752	509	1120	780	5940	4333	3575	3812	5336	4667	3211	3579
(CGAAA)n	0	0	0	0	0	0	1	2	13	8	3	4	0	1	1	2
MER68B	44	57	53	129	55	35	39	39	220	189	137	130	179	144	157	157
HY1	19	22	22	20	22	10	9	10	58	44	43	52	81	78	52	37
LTR14	10	22	7	6	12	4	23	6	95	56	42	32	44	47	31	48
LTR70	265	243	246	293	131	94	249	164	1150	931	454	456	655	550	492	590
L1PA2	1890	2223	1295	1449	716	521	972	674	4812	3494	2338	2565	3144	3376	2094	2537
L1PA4	3012	2946	3528	3600	1142	688	1813	1208	8892	6240	4988	5118	6786	6247	4524	5083
UCON22	1	1	0	0	1	1	1	0	6	3	2	2	11	1	0	3
MLT1E-int	1	0	7	0	0	0	2	0	14	5	1	0	0	0	1	0
(CACTA)n	29	37	14	15	13	5	12	15	62	77	32	66	33	60	33	14
(TTA)n	354	248	562	519	299	157	400	310	2234	1331	449	513	630	492	338	602
(GCCTAA)n	1	1	0	0	1	0	0	0	4	0	2	6	0	1	2	3
AluYc3	33	35	64	73	28	19	40	30	207	134	163	117	202	182	151	118
L1HS	402	430	430	426	145	102	197	140	875	730	622	647	884	853	577	668
MSTA-int	435	479	459	593	168	124	256	172	1258	783	898	900	1206	1124	899	984
(CCCGAA)n	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
(CTATT)n	7	11	7	19	4	3	2	3	19	9	13	13	5	8	16	12
LTR75B	7	16	25	18	13	7	16	17	85	74	39	36	52	37	33	32
(CCTG)n	31	41	42	46	22	11	28	20	133	95	52	40	113	85	59	57
LTR13_	3	13	7	19	5	5	7	5	33	29	24	8	9	2	15	11
MER30B	40	41	22	41	28	30	28	21	110	119	78	84	79	124	63	91
(TACTG)n	0	3	3	2	0	0	0	0	0	4	3	2	4	0	2	4
(TTCTCC)n	3	1	13	18	2	1	4	6	37	15	16	18	18	6	10	10
(GCGTG)n	1	0	1	1	0	0	1	2	4	12	8	6	15	9	8	9
LTR19-int	33	36	57	71	15	14	24	26	108	115	184	195	210	157	218	211
(CAACT)n	14	29	15	5	24	13	9	10	32	55	18	19	8	12	25	24
(GAATG)n	28	56	40	52	19	5	22	14	59	101	30	14	20	14	14	12
Charlie6	21	20	15	27	11	11	18	11	76	53	48	47	45	58	35	51
UCON26	7	2	22	13	7	5	3	6	26	18	18	13	19	9	9	9
SVA_A	311	380	382	489	288	233	376	300	1536	1384	296	268	341	309	245	333
LTR39-int	3	11	13	4	4	5	1	4	14	12	17	19	19	11	4	5
(ATTTG)n	0	2	2	2	0	0	0	0	0	3	1	2	2	2	5	4
LTR5	32	28	34	47	111	242	138	96	591	422	663	651	974	1337	788	655
L1PA8A	492	411	601	730	230	131	337	261	1463	1088	955	951	1511	1356	771	881
(CACAA)n	22	26	23	4	13	7	21	10	63	72	20	18	10	12	3	7
(CAGAA)n	0	2	0	0	0	0	0	1	2	5	7	15	18	9	4	12
LTR12B	16	19	38	44	22	9	22	16	104	61	52	53	48	45	48	32
(CCGGG)n	1	0	1	1	1	3	0	0	0	3	3	1	3	1	1	1
LTR3A	47	56	44	57	53	27	36	36	182	123	255	270	355	298	370	392
MER92A	10	15	23	3	3	2	5	5	18	27	19	19	19	23	14	12
HERV35I-int	87	86	167	160	47	43	71	48	327	170	168	163	215	184	134	200
L1PA3	3430	3584	3295	3499	1596	1128	2196	1495	8587	6243	4885	5028	6778	6343	4283	5052
(CATTT)n	4	3	11	2	1	3	8	4	35	20	15	12	11	5	1	18
MER99	12	21	9	20	15	7	9	10	70	15	34	23	20	18	23	22
L1P4e	25	33	18	37	12	9	17	7	50	47	27	18	33	36	25	26
(GAGTG)n	13	27	10	11	10	7	11	12	61	35	21	20	16	16	15	14
L1PB	293	303	326	284	171	101	214	144	801	611	345	321	300	361	259	321
MER11C	295	359	199	249	195	156	230	142	786	665	330	289	463	410	273	344
MLT1E2-int	10	6	7	13	5	12	9	14	45	50	24	34	32	22	23	41
AluYf5	17	16	17	12	15	6	15	10	63	38	55	54	62	57	47	62
MER21-int	124	129	135	151	86	45	94	70	380	257	276	260	315	308	269	299
DNA1_Mam	4	5	22	8	9	4	8	6	32	25	32	22	29	40	19	18
Looper	70	68	108	110	74	20	57	52	259	169	204	207	263	252	192	263
(CTTTA)n	0	0	1	0	0	0	0	0	4	0	0	3	2	2	0	1
L1PA17	892	768	1026	896	430	261	619	456	2496	1602	1186	1148	1498	1344	1113	1180
AluYf4	157	153	195	339	118	76	132	103	452	432	379	371	384	496	325	335
(TTCGGG)n	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0
MER11A	162	171	207	224	102	67	162	127	629	452	590	533	1418	1233	435	499
Tigger6b	30	21	73	43	11	6	20	9	43	64	41	43	75	72	46	55
(GTATG)n	1	2	0	0	0	0	1	0	0	6	5	2	2	3	2	3
(ATAAG)n	1	2	0	3	0	0	0	0	5	0	2	0	0	4	0	0
(TTGTG)n	8	6	0	5	4	4	1	2	8	6	3	6	2	3	6	4
MER41G	96	92	64	61	35	24	25	45	139	123	36	34	25	22	21	30
GC_rich	1009	1507	2185	3210	1498	1429	2194	1468	6471	6560	14084	14792	9747	15479	15016	14218
(GGGAGA)n	8	13	9	24	21	10	26	26	103	86	52	46	61	65	38	32
U5	8	2	7	27	4	4	4	9	23	27	25	21	25	42	20	32
LTR7A	1	2	3	0	0	1	0	0	2	1	0	3	1	1	2	0
(TAAAAA)n	15	9	24	28	34	15	15	14	73	34	33	27	30	32	23	40
AluSq4	167	185	222	280	167	106	190	112	550	495	370	388	461	465	348	418
(CAGTC)n	0	0	0	0	0	0	0	0	2	1	0	0	0	0	3	1
LTR73	29	44	20	39	22	9	27	12	82	56	43	41	54	51	41	35
MER123	5	3	0	3	3	2	0	3	12	3	8	3	0	3	6	7
(TAAAA)n	51	51	100	89	58	28	61	49	251	139	81	92	118	108	61	72
(CGAA)n	0	0	0	2	0	0	0	0	4	2	0	0	0	0	0	0
(AGGTG)n	11	14	10	6	9	6	9	7	28	30	9	3	6	6	4	3
(TAAG)n	5	2	5	8	3	2	2	5	14	14	8	2	2	7	3	7
LTR26	82	84	103	87	59	34	81	53	254	207	74	75	68	70	68	65
HERVK-int	269	287	319	282	219	140	315	205	1030	751	6168	6331	12335	12164	5006	5028
MER52-int	62	79	61	66	39	14	49	35	152	137	80	108	128	118	62	81
(CGGG)n	0	0	0	0	0	2	0	0	2	2	0	0	0	1	0	2
BSR/Beta	1699	2199	1094	1248	1144	778	1696	1223	5272	4616	2352	2376	3054	2667	2153	2308
(CTCG)n	0	1	0	1	1	0	1	0	4	3	0	0	0	5	2	0
LTR59	11	9	10	11	1	2	7	5	21	22	16	15	25	10	10	5
L1P1	566	554	615	731	359	225	496	349	1686	1158	776	747	978	949	668	724
(CACCT)n	8	13	7	4	3	2	3	17	44	29	65	62	111	77	62	45
AluYk12	13	8	16	12	10	5	8	4	31	12	34	33	22	57	33	48
THE1B	2214	2459	2140	2438	1296	828	1740	1301	5634	4443	3655	3754	4179	4009	3494	3691
Tigger3a	892	1016	969	1011	520	372	623	501	2072	1657	1493	1561	1781	1691	1428	1684
MLT1D-int	93	88	161	198	128	70	96	63	269	253	107	109	119	147	88	124
MER34C	30	26	37	43	26	13	26	22	102	61	34	34	22	23	14	31
(CCCGG)n	0	1	2	3	2	0	1	0	4	2	0	3	2	0	2	2
HERV-Fc1_LTR3	0	0	0	0	0	0	0	0	2	0	2	2	4	6	1	8
MSR1	59	63	76	61	61	40	65	58	202	195	140	134	143	183	111	105
(TCCG)n	7	34	32	60	39	34	47	28	93	145	158	190	202	298	193	179
LTR55	47	73	67	64	32	37	45	40	152	125	62	46	53	37	43	37
LTR57-int	67	73	81	89	45	34	79	56	265	171	75	86	61	51	52	100
LTR24	59	45	30	64	32	11	40	31	128	100	91	70	73	99	66	87
L1PA7	4757	4837	7494	6868	3336	1899	3033	2137	9827	6538	5895	6244	8645	8022	5126	6099
Merlin1_HS	10	11	25	36	10	10	5	7	14	26	30	44	60	34	10	31
(TTTAG)n	3	1	0	8	2	0	1	1	7	2	16	6	8	6	7	5
Kanga1a	95	78	153	181	68	36	74	55	235	172	131	122	135	146	110	167
HY5	0	0	3	2	0	0	0	0	0	2	1	4	6	6	5	0
(TTTCG)n	1	0	0	5	0	0	0	1	3	3	7	1	0	1	4	1
L1PB1	3048	3143	3515	3363	1733	1059	2393	1841	7850	5393	5056	5298	6903	6162	4545	5266
MER57D	51	53	74	59	46	23	59	25	159	102	96	120	104	150	103	92
MER65B	21	13	0	21	29	6	15	14	61	37	20	34	28	25	17	33
LTR5_Hs	459	428	285	303	270	182	442	333	1330	1064	2062	2172	2796	2821	1565	1731
(GGAA)n	125	125	157	165	105	66	125	106	366	345	164	190	187	179	135	134
(CTAAA)n	2	0	2	2	0	0	1	1	5	3	3	6	7	9	4	2
MSTB2-int	11	11	15	6	10	3	14	13	56	31	11	18	21	16	15	20
MER70C	48	56	20	19	30	23	42	42	126	132	35	43	46	47	32	28
UCON10	4	2	5	2	6	1	2	1	9	3	0	6	0	0	5	6
MSTB-int	196	213	139	213	99	48	116	111	376	321	199	188	275	232	142	195
Cheshire_Mars_	0	0	0	0	0	0	0	0	0	3	2	0	1	3	0	0
MamGyp-int	30	39	35	54	33	7	17	16	60	44	25	32	48	28	24	28
(TTGGGG)n	0	1	20	4	0	0	3	3	11	10	2	1	4	3	1	0
MER97a	19	8	20	58	14	7	23	8	66	31	26	23	25	27	21	34
MER83B-int	17	13	38	30	8	8	24	19	61	70	31	31	55	53	23	58
THE1A	490	507	511	641	316	196	438	337	1353	992	575	567	808	754	594	671
LTR24C	44	40	45	43	15	14	38	27	105	91	53	50	81	62	49	69
(CAGT)n	2	5	1	0	1	1	8	3	8	26	8	16	5	15	3	8
(CATGT)n	1	4	3	6	0	1	4	1	15	3	1	4	8	3	1	1
LTR45B	100	118	81	107	66	59	92	51	226	198	91	99	71	155	77	112
LTR21B	11	9	1	2	0	3	2	3	6	11	7	11	5	26	11	17
LTR22B	27	34	23	49	12	9	18	13	60	35	44	44	61	69	59	65
L1PB2	407	373	498	514	221	111	300	230	927	657	553	515	754	673	451	599
(CTACT)n	0	0	2	0	1	0	1	1	3	5	3	3	1	0	1	1
LTR19C	39	44	40	20	30	26	27	23	89	61	84	73	111	119	66	85
(CTA)n	31	38	43	36	29	14	32	14	80	56	30	38	39	56	44	43
HERVIP10FH-int	370	423	288	351	205	144	285	218	854	627	301	344	512	483	218	268
MER57E2	0	1	8	5	0	0	1	2	9	2	5	13	9	12	11	10
AluYa8	47	34	44	40	12	10	29	23	69	84	41	55	65	71	39	67
MLT1F2-int	48	54	69	75	24	13	48	39	147	111	84	84	90	78	61	98
(GTGTG)n	14	9	8	8	8	4	7	5	20	17	18	33	35	23	15	16
MLT1G1-int	47	51	83	96	32	23	38	44	140	105	41	52	71	83	48	70
(CCCTAA)n	23	34	69	20	10	14	32	24	108	66	44	58	421	47	46	44
Tigger3b	1246	1228	1761	1837	816	535	1041	789	3147	2208	2094	2178	2556	2324	2059	2198
Charlie14a	44	57	82	51	56	35	65	48	170	159	96	81	87	79	76	80
(CTAGT)n	0	1	0	6	0	0	2	1	16	0	1	0	0	0	0	3
(TTTC)n	258	215	390	463	286	125	247	206	797	530	460	428	664	636	401	443
(TTTTTA)n	82	55	123	133	70	41	83	66	284	154	182	215	266	180	196	318
MLT1A0-int	144	159	292	230	102	73	143	106	439	278	226	210	265	253	221	245
(TTATA)n	41	21	99	77	31	13	34	31	129	63	75	97	117	99	57	96
(CCGCG)n	7	24	10	7	7	7	12	6	24	29	1	2	3	2	0	1
MER106B	86	71	158	108	38	32	73	35	185	122	164	128	207	187	142	151
MER41D	53	39	45	65	22	25	52	38	151	107	91	102	125	146	79	123
LTR24B	83	91	79	95	89	58	102	74	287	213	262	235	140	163	247	297
MER65C	73	87	106	125	58	29	66	54	215	131	107	173	206	148	146	157
Charlie4	16	5	21	29	10	5	10	12	45	21	34	47	36	59	27	35
MLT1J1-int	67	85	51	75	37	37	54	36	141	115	40	64	80	33	46	49
HSAT6	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0
(TTCGG)n	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
MLT1A1-int	141	125	105	61	85	54	80	59	235	160	124	112	118	106	82	85
L1PA11	926	948	1143	1209	557	349	538	439	1703	1061	1240	1256	1574	1370	1059	1233
MSTB1-int	60	54	42	30	28	26	34	20	88	64	52	55	68	35	42	34
Kanga1c	122	87	109	169	104	46	112	83	289	252	186	164	207	178	171	214
(CAAAC)n	15	8	37	16	11	9	16	11	45	32	20	23	33	29	20	23
MER104	232	203	313	316	156	98	213	137	553	410	376	377	482	358	384	394
MER44D	115	125	159	141	69	38	96	89	270	241	133	130	171	166	122	144
MERX	72	43	60	76	44	28	64	57	196	140	54	79	101	68	67	70
Charlie3	182	207	171	138	117	71	150	85	358	279	161	156	169	175	144	142
LTR56	148	179	212	180	89	67	169	106	395	348	216	205	316	289	201	240
HERV9-int	644	695	424	518	316	218	368	344	1050	895	560	569	696	676	506	574
L1PBa1	293	320	252	211	127	99	200	157	620	361	269	293	297	329	207	229
MER44C	187	221	242	268	173	109	181	128	493	344	345	355	406	349	277	391
HUERS-P2-int	78	91	82	99	32	28	54	32	129	103	67	63	89	71	39	42
MST-int	22	43	35	67	25	23	43	21	77	93	72	65	66	66	62	73
HERV15-int	8	20	138	98	9	12	44	26	79	107	31	27	29	30	15	27
U13_	0	0	0	0	0	0	0	0	2	0	0	1	6	1	2	0
L1M3c	174	170	257	247	161	83	151	122	415	316	220	205	278	295	182	226
(ATATG)n	0	2	5	1	1	1	1	2	6	4	2	4	13	3	5	5
LTR10G	37	51	29	50	25	16	46	21	102	77	49	33	101	46	44	53
(CAACC)n	0	0	0	0	0	0	0	0	1	3	0	0	0	2	0	0
(CCTAG)n	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
LOR1-int	229	216	256	377	195	134	223	177	682	395	278	287	369	290	192	295
MER110-int	21	29	55	40	28	17	36	28	102	70	69	107	96	97	70	65
(CTCA)n	78	67	34	32	41	35	74	58	205	147	90	110	59	102	80	89
LTR31	69	68	83	50	42	36	69	45	182	120	55	52	57	74	51	67
(TTTTA)n	193	121	339	238	167	111	169	124	531	254	323	329	455	367	275	479
(CGGGGG)n	18	18	27	27	30	26	17	17	46	44	18	17	33	32	28	22
X9_LINE	2	3	10	10	2	1	2	4	14	4	10	6	6	5	3	4
L1MA3	3388	3414	4036	3680	2573	1602	2765	2202	7629	5269	2975	2793	3903	3459	2501	3022
LTR13	279	345	318	274	253	161	384	311	1035	765	649	674	747	808	743	659
(CACTC)n	118	137	54	71	30	12	34	26	89	66	36	27	23	15	19	19
Charlie12	0	0	0	0	0	0	2	0	7	1	4	0	5	0	2	4
X1_LINE	4	2	10	25	4	4	2	4	4	13	4	13	13	8	5	1
LTR12D	420	494	277	323	306	221	388	288	964	750	159	151	172	171	123	132
(CAAGA)n	2	0	4	0	0	0	0	1	1	5	0	0	0	0	1	0
L1P	5	4	8	10	3	1	0	3	5	5	8	4	6	0	2	9
LTR10E	49	53	63	68	34	20	46	37	125	87	88	98	118	115	96	85
(CAATT)n	3	7	2	2	4	0	3	4	13	8	0	2	1	10	6	1
(CCCG)n	0	1	0	1	1	2	3	2	8	6	1	4	8	11	4	3
MER47C	320	249	359	353	256	119	250	213	734	446	768	794	608	539	741	877
L1PBb	33	43	25	71	25	21	41	22	87	71	56	49	33	65	28	29
(CCCCG)n	30	37	45	73	48	50	40	34	96	89	33	44	49	61	31	35
UCON12A	3	6	2	0	2	1	1	0	1	3	1	0	0	0	0	0
AluYc5	2	6	2	4	7	3	3	2	9	5	2	1	11	6	3	6
MLT-int	59	81	37	56	59	27	50	36	110	103	57	66	60	77	53	68
(TTAGG)n	0	1	0	0	0	0	0	0	2	0	1	0	1	2	0	2
AluYc	1399	1503	1311	1589	1020	728	1187	942	2909	2312	1620	1715	2110	1977	1508	1767
LTR47A	115	119	114	93	85	57	121	67	257	201	134	164	170	152	129	183
Charlie2a	219	212	443	372	158	103	255	224	713	474	435	468	462	360	389	433
(GGTTG)n	0	0	0	0	0	0	1	2	7	2	3	2	15	4	0	0
FordPrefect	240	291	199	226	163	107	218	192	566	436	91	83	89	61	64	74
(TTC)n	78	98	126	108	103	54	77	94	284	145	235	244	324	241	171	248
Charlie13b	34	37	51	43	24	15	41	28	92	75	79	60	64	87	68	57
UCON9	0	0	2	2	0	0	2	0	2	4	4	12	0	6	3	6
X8_LINE	41	20	44	36	15	13	20	20	59	40	28	39	38	35	28	38
HERV-Fc1-int	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0
LTR86A2	34	33	32	49	35	17	30	21	86	39	87	108	93	83	89	89
(TCTCG)n	0	2	0	0	0	1	2	0	2	4	6	2	0	0	7	3
HERV1_LTRa	4	2	1	2	0	1	2	0	4	2	2	5	7	8	7	3
L1PA14	820	782	803	851	502	253	561	486	1473	1040	717	855	965	917	633	737
(CATTC)n	157	214	62	97	43	25	35	22	59	76	41	22	14	16	37	13
AluYb8	408	314	613	609	331	205	358	278	913	606	673	667	754	751	692	733
HERVI-int	104	114	206	187	115	74	262	191	629	447	610	697	743	734	645	683
Tigger1a_Art	55	44	57	45	28	19	31	41	97	77	156	181	168	147	139	178
(AATAG)n	2	3	4	0	2	0	3	2	5	8	4	5	6	11	6	8
L1M7	468	459	729	703	507	238	513	416	1345	874	778	829	1059	1011	816	908
LSAU	13	13	10	10	7	8	23	7	30	40	13	8	12	11	6	5
(TAAA)n	204	207	303	335	220	98	264	204	719	400	276	331	358	351	225	333
L1MA4	1847	1753	2855	2856	1678	1010	1825	1405	4629	3022	2502	2513	3257	2911	2457	2749
polypurine	269	264	149	140	95	87	122	91	259	240	60	74	95	149	59	96
LTR43	103	126	67	93	55	37	98	68	224	167	58	49	164	109	44	60
(CAGA)n	100	84	51	80	47	43	92	88	207	215	51	36	68	65	31	33
MER65D	91	109	93	96	79	36	97	71	220	173	76	107	133	131	120	130
LTR35A	26	31	18	45	14	16	17	10	33	31	13	25	11	8	12	18
AluYa5	1321	885	1677	1606	1273	614	1222	780	3046	1645	1656	1607	1977	1734	1352	1970
L1ME3D	1063	1013	953	1128	768	469	974	749	2373	1635	914	950	1069	975	888	1080
LTR43-int	6	5	4	16	2	1	14	9	32	24	8	4	4	0	5	3
L1M3	1318	1180	1707	1879	853	544	959	728	2415	1512	1556	1698	1881	1652	1380	1696
(TAGG)n	79	51	49	64	29	23	63	36	130	98	64	51	62	28	47	43
LTR16D1	24	22	17	17	14	4	27	12	24	63	18	26	20	13	33	24
LTR71A	58	69	47	83	49	40	43	43	142	62	44	41	46	61	37	47
MER57E1	104	106	73	111	63	28	60	44	116	120	91	108	69	83	68	76
LTR65	90	99	77	90	66	67	78	73	210	139	86	101	134	125	67	99
AluSg	9748	10465	10393	12564	8920	6096	9414	7199	20863	16705	12302	12255	13904	15903	11912	12750
MER21B	932	946	1037	1022	934	564	1087	918	2543	2002	2414	2677	2446	2441	2423	2334
L1M2c	100	81	158	130	71	51	93	63	187	164	103	124	135	108	85	130
(CTAAG)n	3	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0
Zaphod2	56	59	61	71	49	17	52	29	109	74	77	57	93	85	60	76
(CATTG)n	0	1	3	3	0	3	0	0	2	0	2	0	0	0	0	0
UCON1	0	1	2	6	4	1	2	0	5	1	1	2	1	0	0	0
Charlie1	473	483	629	638	359	240	418	305	923	687	640	601	705	672	616	718
LTR40c	96	121	92	155	98	59	115	98	267	210	120	105	160	149	88	131
MER6B	97	90	127	184	119	55	103	97	272	178	233	224	247	256	210	240
(ACATG)n	1	2	0	2	0	0	7	0	12	5	3	4	7	2	7	4
MSTC	462	513	514	482	315	202	438	408	1138	720	489	506	523	631	471	504
(CAAT)n	44	54	26	54	31	23	25	30	84	40	32	44	63	55	52	64
LTR22	14	10	1	14	7	3	8	5	10	19	6	7	6	10	4	7
LTR87	119	113	182	106	63	40	78	88	192	171	165	144	192	178	118	119
L1M4c	2004	1788	3865	3917	2070	1184	1874	1498	4378	2944	1682	1551	2101	1944	1610	1769
AluSx	39150	39859	49542	50232	36887	23859	38475	29958	84362	63207	43570	44005	51190	53387	41976	46915
(ATTG)n	46	68	88	77	39	30	55	40	116	89	91	80	98	121	94	106
