Gene 	gene.1	Gene.2	  Oocyte	 Zygote	2cell 	4cell 	8cell 	Morulae	Blastocyst	hESC.p0	hESC.p10
LTR66	LTR	ERVL	1.546591323	2.884525247	2.126384401	3.315490856	16.63586897	9.448045174	5.204821237	5.350905116	7.464370632
LTR103_Mam	LTR	ERV1?	5.695661933	7.260342616	5.773919183	7.506805502	4.165613413	4.215404153	0.898419335	1.133785044	1.412406396
LTR61	LTR	ERV1	0.614201866	1.047545314	0.60055678	1.519658283	10.46072743	9.756587435	9.255801439	10.66278673	6.477294416
tRNA-Leu-TTA_m_	tRNA	tRNA	81.47539473	655.0440829	325.7810974	932.2400788	644.0439313	1039.68873	1152.718572	634.2706184	557.5313563
FordPrefect_a	DNA	hAT-Tip100	0.638286987	0.635493874	0.271326914	0.995904761	1.20055327	2.072977224	0.756471278	0.680288859	1.06692982
LTR60	LTR	ERV1	0.266203469	0.042284287	0.084189361	0.34698963	0.260554845	0.038770616	1.624247803	0	0.329312441
LTR60B	LTR	ERV1	98.52391908	108.425314	75.02298996	78.80449268	16.48723566	8.270312932	0.967527293	0.453745732	1.848994983
HERVKC4-int	LTR	ERVK	0.494597858	0.41338767	0.272580445	0.962693636	1.317435628	1.669228904	1.856542197	4.170435524	0.836130839
Chap1_Mam	DNA	hAT-Charlie	8.983071037	18.682076	22.40941326	25.73214374	28.89145836	14.36573118	5.827424169	17.36293309	17.66735402
LTR3	LTR	ERVK	2.994487624	8.59521134	11.74244688	16.83763968	50.19748817	69.30872745	21.90568292	19.17030251	28.41693832
X5B_LINE	LINE	CR1	2.192245802	2.484404506	2.388832137	2.489616506	2.001653292	1.810054186	4.923048396	6.303596915	2.75871203
AluSg7	SINE	Alu	644.0985663	461.1757372	444.5998685	315.4580651	455.1602931	451.7875121	360.8308181	483.6387167	548.4131037
LTR7	LTR	ERV1	157.2297834	370.4657722	417.6285841	163.6277851	239.4919261	175.9979789	259.2539568	2464.262435	917.4651383
LTR4	LTR	ERV1	0.056065236	0.256768915	0.343963854	0.665536334	4.289026236	3.648636934	0.029671517	1.885687126	1.689976693
LTR5	LTR	ERVK	5.908189912	4.130839754	5.191128894	8.131164462	161.3785913	366.5847351	35.06446765	60.83011165	23.07213076
LTR8	LTR	ERV1	85.01809406	149.4599422	169.3016452	76.06172571	138.7147382	115.7232149	48.17420799	91.46545973	90.31503401
LTR9	LTR	ERV1	14.73405857	21.56530217	20.84870593	23.4881519	47.30683956	36.74633316	9.202964006	9.230777897	11.23841617
X9_LINE	LINE	L1?	5.875782804	3.510029652	2.964910515	4.632980695	9.601634166	4.080694396	5.010870562	2.403389984	3.433125939
MER57C2	LTR	ERV1	4.730160935	6.239545622	5.61175041	4.221177832	3.499188129	1.957381858	3.175165776	6.067748612	5.327617896
HERVH48-int	LTR	ERV1	5.593329913	9.487823184	6.71037418	10.46913888	20.6545711	17.58900408	27.99270662	9.048917833	0.980462177
MER57C1	LTR	ERV1	2.144925396	1.945045421	1.323658975	2.737089354	3.247286889	2.189023932	0.656461684	2.38180461	3.790557661
LTR13A	LTR	ERVK	33.55192153	25.98468569	28.70035602	79.34575181	51.21492681	36.78965236	5.292685311	29.79508153	12.8407573
MSTB1-int	LTR	ERVL-MaLR	0.764963012	2.230430147	1.728611767	4.107452427	6.246571333	6.110902462	1.668353119	1.248350755	3.190804148
tRNA-Asn-AAT	tRNA	tRNA	0	0	0	0	0.001376226	0	0	0	0
MER115	DNA	hAT-Tip100	19.0544288	26.8438295	19.98149497	31.19220063	18.96676729	11.37374614	5.667480798	14.81989858	12.4840017
Tigger13a	DNA	TcMar-Tigger	44.54975698	50.81182755	40.44946714	50.78414045	48.51930907	33.1340559	16.98266716	44.53593951	54.12742074
MER117	DNA	hAT-Charlie	49.53250061	43.43813329	32.43125932	54.16789835	40.31095961	25.07659958	19.62329123	60.32820253	59.73712816
MER110	LTR	ERV1	4.70331694	6.399786948	6.465528519	27.0923042	11.28364181	10.7043061	5.428873136	7.299260006	8.597891742
MER112	DNA	hAT-Charlie	93.00267292	141.7259253	122.0567489	89.67227344	95.17989379	100.2138584	87.27429456	80.48486639	84.49676685
L1PB1	LINE	L1	190.7452643	137.8436628	129.6303486	179.7067761	356.7297574	749.8105767	919.4144062	813.3248732	1153.671665
MER74A	LTR	ERVL	26.94471192	36.71889223	33.13150439	37.23775642	17.9979349	19.05022367	4.412897417	13.44649585	14.71601218
HERVK11D-int	LTR	ERVK	0.512405699	0.840175181	0.636584056	2.362858933	2.436585992	0.604325084	0.046754304	0.938758958	0.213275877
LTR13_	LTR	ERVK	0.889020031	1.61343845	1.532346504	2.490946604	10.98733432	5.0829262	4.787620333	7.027462195	3.925270852
MER119	DNA	hAT-Charlie	20.54503412	14.12760157	10.38625054	14.57149717	21.0398443	14.65805948	9.594073578	17.83789804	20.94056555
MER5C1	DNA	hAT-Charlie	90.03819257	47.24222639	41.56322716	21.95153533	8.958035538	3.210653464	1.07497746	2.963710533	4.726060364
PABL_A	LTR	ERV1	6.603437383	10.17260523	7.525367475	9.073063715	19.51388177	14.33113661	4.63072594	6.835000951	8.164268355
LTR38	LTR	ERV1	1.661376009	1.83487654	1.5178007	2.545411358	2.32134666	3.595708315	0.88018034	0.264787438	1.288006626
L1PB3	LINE	L1	8.96330321	25.03280495	16.58403095	21.79356592	44.46354074	63.2493378	15.51964295	54.79498356	66.92944841
MamGypLTR3	LTR	Gypsy	25.34898055	17.47353743	11.65450508	22.26902205	10.42685406	3.447483405	1.295295775	5.457184366	4.806876106
MER65-int	LTR	ERV1	23.36137197	16.10426795	14.79841356	25.5354708	31.16696634	43.48732175	13.90851241	15.35505335	21.87493695
MLT1K	LTR	ERVL-MaLR	399.3848665	367.8304463	320.5790141	388.4678671	283.384102	232.5241068	101.8545763	220.762639	200.1821625
LTR32	LTR	ERVL	43.31547191	85.76777988	97.63705041	49.60341677	21.23826274	7.629587351	4.96434797	10.94872699	13.88547784
LTR33	LTR	ERVL	253.562227	241.6100621	247.8871174	239.2379408	116.8793322	76.01719099	36.02922668	70.25042231	73.52221032
L1MA10	LINE	L1	53.27004378	51.89363062	44.27493203	49.46265414	96.4091589	54.61487076	26.69639793	103.9917757	69.58138743
LTR31	LTR	ERV1	4.453904753	9.56576517	7.883462531	8.972473667	6.548746381	5.697736983	0.561554001	4.063432038	9.405469863
AluYg6	SINE	Alu	130.4795701	99.57344548	127.6245262	71.8857608	135.2417614	147.3077387	105.3580514	117.9899757	136.300585
LTR34	LTR	ERV1	0.900357011	1.931545594	1.577817071	2.741531009	4.669800499	2.817164511	2.203604195	3.923523106	3.003866665
LTR35	LTR	ERV1	4.467502729	8.233126548	13.10195505	11.04229143	7.753665838	1.015698932	1.271204094	7.012651555	9.724143975
MLT2B2	LTR	ERVL	37.867007	42.37914018	37.46830185	40.29336699	30.45069581	17.57947801	6.097646429	10.41627228	7.677197412
HERVK13-int	LTR	ERVK	14.64867439	13.94084162	12.86669596	39.75994767	45.63475654	37.76597214	6.45953115	1.372380323	1.843055665
L1P1	LINE	L1	18.15644159	16.66693292	19.36895436	55.30195874	61.04037776	129.8491791	32.51346127	133.5188364	104.7139386
L1P3	LINE	L1	20.69726286	22.69885895	15.09670539	30.31419005	58.33999189	85.53851216	24.30838526	108.7117058	97.40515909
L1P2	LINE	L1	15.94710765	18.61970245	20.20669659	53.0989728	69.88908725	136.464477	52.48616824	158.9404074	159.078063
L1P5	LINE	L1	6.376162878	13.89838822	7.303832569	6.392738479	4.345662593	2.912724386	1.140278434	1.556013268	2.263299105
L1P4	LINE	L1	670.7939102	252.3439388	592.5377375	192.1636317	106.7329095	69.41775877	33.83651517	25.18665568	28.88141812
LTR108b_Mam	LTR	ERVL	0	0.013622858	0.04318834	0.60656434	0.138278961	0.146898934	0.336869086	0.058061527	0.015260615
LTR21A	LTR	ERV1	19.84382111	11.3562752	8.65912455	13.24314767	28.54409572	47.18646089	112.695473	52.24224408	138.7676511
tRNA-Arg-AGA	tRNA	tRNA	0.029489859	0.098627782	0.026471234	0.055366711	0.202746689	0.095798278	0.671044849	0.122595952	0.108899736
LTR21C	LTR	ERVL	0.041095457	0.066155564	0.071933281	0.057633686	0.443909783	0.171937837	0.069647888	0.160747688	0.186847951
LTR21B	LTR	ERV1	0.946804876	4.749061014	3.280562183	0.99155359	1.686831789	1.39500852	2.023598803	0.490803709	2.077474764
LTR86B1	LTR	ERVL	1.23232924	3.119107232	2.173988169	4.059306966	4.024488896	2.847484807	1.281792049	2.50902723	3.714934874
LTR86B2	LTR	ERVL	0.874922793	0.858170277	0.513272274	1.531649718	1.295279705	1.637227365	0.851941472	1.560166408	2.896966249
tRNA-Gly-GGA	tRNA	tRNA	0.160698082	0.258523059	0.206801478	0.315495036	0.693849474	0.382754104	0.109968287	0.393068173	1.318253729
L1PB	LINE	L1	24.67885527	28.93422007	24.15512956	25.31780069	31.07456196	39.82755724	13.65620979	30.27478385	25.83555309
ERV3-16A3_LTR	LTR	ERVL	12.0884447	12.87795918	9.438030429	11.47181427	9.105277771	5.782151834	3.973616354	15.38703449	17.92631782
LTR18A	LTR	ERVL	1.499960994	2.940787191	2.745256664	2.69018072	1.546466579	0.122962759	0.641918973	0.333431164	0.080729602
LTR18C	LTR	ERVL	0.91400455	4.119335523	2.828422732	4.024223716	1.429124373	0.106044622	0.155617201	1.023493349	0.245643443
LTR18B	LTR	ERVL	11.01121384	15.46455874	13.26524888	10.70142862	7.69572983	3.304031577	3.089428192	3.380197262	1.531299497
ERV24_Prim-int	LTR	ERV1	1.688054663	2.700240793	1.812033633	2.968104042	4.45417349	5.0961674	4.493989663	16.10944884	10.92235104
MER70C	LTR	ERVL	0.975845036	0.978051242	0.636230074	1.922606426	4.715047084	4.459227917	0.833400884	1.288509973	0.868938473
LTR3B	LTR	ERVK	10.32580141	41.34065294	31.62752636	23.15553123	9.590260728	5.61380722	2.800227782	2.445465003	1.94863544
LTR3A	LTR	ERVK	1.189271029	3.817727344	2.950849196	7.564885723	9.250084006	6.501798959	22.1300204	14.95242092	12.10757953
MSTA	LTR	ERVL-MaLR	140.5149837	237.7835906	230.2221632	171.9310604	196.7713551	193.5443187	74.28399862	213.9252856	205.7769082
MSTB	LTR	ERVL-MaLR	59.63082592	57.51702111	54.68246532	59.1226815	89.25846755	86.62941162	48.04840684	110.7050129	106.2353733
LTR59	LTR	ERV1	0.280672602	0.216675121	0.131618805	0.432643755	1.089951849	0.978370024	0.199134326	0.5647102	0.390853867
MER11D	LTR	ERVK	28.04627619	16.97369386	11.60204905	19.02041078	4.565925621	2.840938601	3.615635036	3.329446494	6.164929305
LTR108a_Mam	LTR	ERVL	2.986144313	3.421675404	2.824319865	1.999546394	1.265487708	1.028082444	0.251693939	0.947472686	0.946828043
GSATII	Satellite	centr	67.67492438	53.35503392	64.77117873	68.22757897	16.36156421	8.783950964	2.035173257	6.688210444	1.913237111
ERVL47-int	LTR	ERVL	1.084187101	0.854618438	0.608552956	1.824317683	2.647771028	4.195471424	0.095733594	0.400783941	0.503510436
MER11C	LTR	ERVK	9.215942478	9.641852635	18.2120268	9.567604342	38.69144348	36.37293573	19.87816193	43.45141143	37.93612511
LTR54	LTR	ERV1	11.44081173	10.35524889	8.660536415	10.66396339	15.61824067	16.46762591	9.612403252	11.63992892	11.89093187
tRNA-Pro-CCY	tRNA	tRNA	0	0.028661429	0	0.040971295	0.048821737	0.044688092	0	0.036239536	0
MLT1F-int	LTR	ERVL-MaLR	81.42236113	44.67866358	19.50358635	32.75024715	14.39665427	10.06953785	5.019785004	27.56009988	13.77616952
MER6C	DNA	TcMar-Tigger	0.241695506	0.261995416	0.257694352	0.298184115	1.48406774	2.635976187	0.024910236	2.725754955	1.408099004
LTR16B	LTR	ERVL	9.847840656	11.40109649	9.008651658	16.59674907	10.75763155	5.263474706	2.521677915	2.911254439	5.075187908
MER6A	DNA	TcMar-Tigger	94.98093297	318.299635	250.2636963	263.9144795	58.78855333	23.29230879	10.34954822	27.26313508	28.8695876
Zaphod3	DNA	hAT-Tip100	13.60732368	13.64605286	11.49792784	10.70277854	8.029948383	7.332353728	2.641998717	4.143071923	9.558316845
Tigger15a	DNA	TcMar-Tigger	129.2282525	183.2317237	168.3694945	142.2755063	98.89675045	76.65945646	44.81092121	73.20281856	80.15934511
Tigger2b_Pri	DNA	TcMar-Tigger	36.15676605	22.55406442	11.79982676	17.05887263	36.38451363	23.42178439	12.33212893	31.45573687	36.65123027
Kanga11a	DNA	TcMar-Tc2	6.806423027	3.611363758	2.713446193	5.217086394	6.862359969	7.813172207	2.471851629	8.20665047	15.10824867
THE1D	LTR	ERVL-MaLR	184.1270408	414.148385	435.1320391	219.6702099	173.2780226	111.3439058	41.84796025	95.20457054	87.65435777
Ricksha_c	DNA	MULE-MuDR	7.60096897	5.011117477	9.258252966	11.502891	13.69291581	11.71628349	3.175373344	4.868606726	5.475950046
FordPrefect	DNA	hAT-Tip100	59.52395397	16.18546783	17.04225171	28.84135028	26.74603838	12.43452042	1.885399499	1.2088644	1.387301184
Charlie10a	DNA	hAT-Charlie	5.118535089	4.396663456	3.250571201	2.49679575	19.68434787	10.3294522	15.78480984	24.41568637	13.75003917
L1M3c	LINE	L1	10.75733705	8.796015736	5.608546997	12.4575225	14.26209565	22.78040065	8.668008416	16.50453346	14.25319355
L1M3a	LINE	L1	64.08588757	40.29519994	41.11308608	42.48187868	41.25799442	40.97291642	27.53187577	52.00847829	54.82125481
L1M3f	LINE	L1	7.734632243	8.895723805	5.872153034	10.02755808	21.12409207	16.41467951	8.612609819	14.35420509	11.87135504
L1M3d	LINE	L1	12.11369368	14.04095772	11.33036751	9.012089811	8.343801939	7.427572162	7.330853107	7.898180242	13.34556745
L1M3e	LINE	L1	2.096806102	3.848588016	3.006967821	3.418460706	5.437379286	6.687126782	1.157808343	9.122150852	7.652285353
LTR47B4	LTR	ERVL	0.477034545	1.435681926	1.018199021	3.095385287	2.1114475	1.943162424	1.339911472	1.201387027	0.436546345
MLT2C2	LTR	ERVL	5.881931333	10.37460439	9.235353708	13.72994799	10.74870801	12.76332809	4.700772991	4.24048609	5.199218753
MER92C	LTR	ERV1	8.248280995	11.1292114	10.10166546	4.856566158	0.935248403	0.794917272	1.026012105	1.094114278	0.58717085
MER92B	LTR	ERV1	24.96427998	22.68505662	22.25579342	12.3390996	19.01630436	19.33509641	7.641434786	13.7205136	16.32096504
SATR2	Satellite	Satellite	0.561896797	14.07094702	16.10246979	12.96273476	4.163191876	5.625294444	0.415076424	12.31851423	28.81621948
MER92D	LTR	ERV1	0.271185365	0.400307826	0.626370377	0.474641341	0.441284672	1.150511153	0.412159561	1.355312889	1.436715734
LTR47B2	LTR	ERVL	7.361516425	8.280018582	5.420173818	6.228455307	6.739916921	21.17436386	1.698178922	10.78953505	7.978893488
LTR47B3	LTR	ERVL	0.474250197	0.436724681	0.287703323	0.69660907	8.230137732	4.007092449	1.932802253	1.326018414	1.686125774
LTR1A2	LTR	ERV1	267.3287003	112.122373	81.94523038	98.23437651	98.78748928	84.78908972	7.803661504	16.08179709	10.09901611
MER51A	LTR	ERV1	143.3593319	107.2836432	98.1351761	85.25194336	80.7603272	39.09857367	16.23997197	24.5449654	26.50678007
MER51B	LTR	ERV1	18.87140041	36.1609117	31.05731079	27.61551901	47.28484522	25.73481408	4.551684211	25.50379593	20.79942317
LTR1A1	LTR	ERV1	7.98459464	8.163596809	6.003051368	10.48730054	21.01618884	14.21456044	2.727836809	4.959740094	5.486624633
MER51D	LTR	ERV1	0.390338291	0.86438489	1.11149875	1.51452475	1.92932945	1.111423759	0.43184001	0.229919787	0.612769099
MER51E	LTR	ERV1	121.3394998	227.9403166	166.8338429	94.14619608	23.64991617	6.265292795	0.986842806	6.231386399	4.800239388
HERV4_I-int	LTR	ERV1	12.95246079	14.51782822	13.21455341	20.59167734	16.68045525	17.9982385	3.352092598	34.4027755	24.91534883
LTR86C	LTR	ERVL	56.4550152	28.89888043	22.17234748	8.673155933	5.165162374	2.689765308	1.570551053	3.288339679	2.495029282
MER45C	DNA	hAT-Tip100	69.52545017	283.0437765	332.0865188	302.0525049	83.94175268	11.91301225	5.55832672	3.723259017	6.182383365
MER45B	DNA	hAT-Tip100	4.407302664	8.635220577	8.955447048	11.7929604	10.20646783	10.3828877	2.896506127	8.651909809	12.39623889
L3b	LINE	CR1	277.0310264	156.1374889	132.5407008	147.4919064	143.35302	103.656455	76.49194675	117.116671	132.098989
LTR108e_Mam	LTR	ERVL	1.617122925	0.714702098	0.58571255	0.894975276	0.680660393	1.51699055	0.063082782	0.624772413	0.41815971
MER75A	DNA	PiggyBac	0.566880077	0.971640795	0.846897359	1.424755008	0.855729503	0.4530695	0.246414109	0.437163525	0.888580468
Tigger11a	DNA	TcMar-Tigger	40.26570501	116.6597733	60.33570385	20.25286675	9.276035431	11.81168059	14.71567086	16.32621598	15.9092336
Ricksha	DNA	MULE-MuDR	7.230762052	2.622243698	2.09002697	5.573614876	2.832876368	3.091016762	0.176588965	1.341613318	1.297489081
HERVL66-int	LTR	ERVL	0.647003576	0.608177424	0.374839345	0.554774821	6.733158229	5.347604213	1.430902107	0.31497535	2.000377204
L1MA1	LINE	L1	48.0098263	59.94283858	66.66346288	53.88880342	85.32644411	90.87549293	39.1020914	99.74366002	98.47199035
L1MA2	LINE	L1	185.8923994	459.6284182	660.9349266	323.9195138	614.857517	630.8841517	252.2260367	260.3012128	420.8022828
L1MA3	LINE	L1	86.80002628	110.6150506	81.14102105	85.35680168	175.8472565	256.6991181	69.27636884	180.0691153	211.105611
L1MA4	LINE	L1	217.5592258	120.1301297	86.62952249	80.71716408	137.6016421	171.9408717	84.49170977	159.4908385	179.7121638
AluYc	SINE	Alu	452.0600581	368.5799057	440.0587413	199.7018261	277.4560921	257.9806047	172.8082628	219.0058577	261.4057408
L1MA6	LINE	L1	41.38158691	45.66992159	54.32494271	44.94978514	63.58515515	67.24207906	34.83281099	177.9046021	97.67430928
L1MA7	LINE	L1	179.9535638	217.4498391	178.0195082	171.0740673	113.9229935	102.9009909	40.2592065	116.9022239	128.0386628
Charlie29a	DNA	hAT-Charlie	44.34968538	37.60607218	48.38286668	28.82456976	31.06438926	24.88406353	12.39775534	29.22037935	31.28654219
L1MA9	LINE	L1	338.1002425	442.5262932	468.6909887	299.3103093	307.1567202	251.4339707	105.5024951	184.1851689	195.5090078
MER4D1	LTR	ERV1	29.55981384	41.89574703	48.72912836	53.80688944	39.31879471	25.17367424	16.63295733	163.2351111	89.60089463
THE1C-int	LTR	ERVL-MaLR	1.390373108	4.17561797	4.531154019	7.472626271	36.4669994	29.83805762	12.53097958	51.89554203	38.6962264
tRNA-Leu-TTG	tRNA	tRNA	0	0	0	0	0.497319518	0.211083608	0.490064223	0	0.024291077
tRNA-Gln-CAA	tRNA	tRNA	15.43089274	6.922739633	6.664003497	19.01872853	2.45376485	0.369094194	3.282334033	2.405907888	2.17323375
ERVL-int	LTR	ERVL	1.923075521	4.854323392	4.677781336	5.81058114	15.30709534	21.23469277	4.125818148	10.37461686	14.9952538
tRNA-Leu-TTA	tRNA	tRNA	0.154047523	0.070945716	0.065724737	0.15996795	0.106132173	0.022104634	0.166633287	0	0.001451337
tRNA-Gln-CAG	tRNA	tRNA	1.441882057	0.173179704	0.971418417	1.061888374	0.47218332	0.187013498	0.696788359	0.424949752	0.310217143
_GAATG_n	Satellite	Satellite	0.112502367	0.181576061	0.253589787	1.141214846	3.110782806	3.172163772	2.823621192	0.114770521	0.665326433
MLT1G-int	LTR	ERVL-MaLR	1.113703817	0.977810727	1.082594047	1.446858387	0.598705808	0.849844306	0	0.604549811	1.721521539
MER2B	DNA	TcMar-Tigger	20.26086859	18.17291069	15.10217805	13.26899061	22.2655054	23.27975929	14.93967038	25.10303106	28.93912012
SSU-rRNA_Hsa	rRNA	rRNA	20661.19202	85361.6684	85744.37766	21919.74855	7286.852569	8105.976096	17135.36375	12792.03996	12395.64069
Charlie19a	DNA	hAT-Charlie	17.66856523	16.00012266	10.09955744	16.82914646	22.57093633	20.18463308	12.22999804	37.08090059	31.52989908
MLT1-int	LTR	ERVL-MaLR	1.715693395	14.09312888	7.95126458	5.068590156	3.848770636	1.434718725	1.01299825	1.266548711	1.539416425
MLT1E2	LTR	ERVL-MaLR	228.1576087	229.1848215	236.9505758	239.3287752	167.5266241	135.3415001	24.31378707	52.60831152	40.83860183
MER21-int	LTR	ERVL	1.376994187	1.183782646	1.31327172	5.49465104	17.54628627	16.25077737	3.911146305	9.937393296	4.871854102
MLT1E1	LTR	ERVL-MaLR	40.05068434	28.68285394	22.64359511	32.64640621	25.06034759	11.66876624	5.280997286	14.14927137	13.63537818
tRNA-Asn-AAC	tRNA	tRNA	0.080150357	0.013622858	0.030881168	0.085022534	0.576151663	0.303700582	0.04478448	0.068378775	0.467465765
THE1A-int	LTR	ERVL-MaLR	0.843791129	4.257068987	3.028236001	19.69210934	142.4602766	104.6487721	18.42246379	48.41244447	44.19491493
tRNA-Val-GTA	tRNA	tRNA	0.012876891	0	0.017985709	0	0.070387599	0.043134039	0.250516498	0.341071231	0.063373937
LTR72B	LTR	ERV1	16.45220429	15.75719274	14.36011485	23.41477525	3.392021394	1.331389663	0.151669765	1.133444257	1.05967902
Charlie4z	DNA	hAT-Charlie	106.8788419	131.5068008	126.0604012	148.0706001	94.63088412	57.69299819	45.92852997	75.46529726	91.64974681
Tigger1a_Mars	DNA	TcMar-Tigger	0.252851405	0.226460007	0.246526426	0.845703097	1.026599201	0.672635174	0.002427905	0.265134496	0.223104523
MLT1F2	LTR	ERVL-MaLR	415.1178133	305.3952294	131.9039138	284.0995409	229.1195769	118.1405134	33.25766932	70.52486937	74.86687181
Charlie4a	DNA	hAT-Charlie	55.046606	33.31753346	27.75166947	41.2136726	58.51895978	36.49980771	23.84646043	54.34737673	61.50598701
MLT1F1	LTR	ERVL-MaLR	86.67591144	39.09669371	28.12207859	53.57966395	60.45332798	46.37917617	16.58706447	34.9681035	48.33783203
tRNA-Cys-TGY	tRNA	tRNA	0.123364175	0.091985569	0.071798464	0.384485482	1.056584905	0.703165753	0.430175758	0.343785384	1.426996904
tRNA-Gln-CAA_	tRNA	tRNA	10.58375192	116.1376673	50.64252285	195.5563857	170.6398779	144.7968598	33.94656487	14.39166022	16.5569746
ERVL-E-int	LTR	ERVL	68.4139376	110.9767231	85.81996971	152.8519076	120.7191592	113.6161338	32.31979767	65.72063693	77.41892821
