Gene	WT_RNA_Rep1	WT_RNA_Rep2	WT_RNA_Rep3	Null_RNA_Rep1	Null_RNA_Rep2	Null_RNA_Rep3
LY6G5C	12	9	11	27	30	23
LY6G5B	337	284	440	531	410	304
CSNK2B	2998	2525	3648	3977	3883	2912
GPANK1	888	616	1009	766	682	556
C6orf47	659	392	581	786	674	513
APOM	64	61	82	35	22	23
BAG6	8792	7426	8438	9375	9064	6082
MIR6832	0	1	0	3	1	0
SNORA38	0	0	5	2	1	0
PRRC2A	15912	10276	11395	19205	15389	8509
AIF1	10	14	35	4	2	8
UQCRHP1	1	5	2	0	0	2
NCR3	4	3	6	1	0	2
LST1	0	2	5	0	0	1
LTB	11	2	14	5	3	10
TNF	0	0	0	1	6	3
LTA	4	1	6	4	3	6
LOC100287329	3	2	1	2	2	0
NFKBIL1	473	606	574	416	459	390
ATP6V1G2	135	130	143	73	47	48
DDX39B-AS1	18	14	4	27	30	14
SNORD84	24	13	18	18	18	6
SNORD117	1	5	0	3	0	1
DDX39B	0	0	0	0	0	0
ATP6V1G2-DDX39B	22	14	11	27	18	10
MCCD1	0	0	1	0	0	0
RPL15P4	0	0	0	0	0	0
PPIAP9	2	0	5	21	14	1
MICB	331	622	921	890	749	762
MICB-DT	5	4	3	13	5	5
HCG26	1	3	0	2	3	0
HCP5	106	91	112	106	100	118
HLA-X	0	0	0	0	0	0
LINC01149	0	2	0	0	0	2
MICA	439	631	761	358	369	303
MICA-AS1	80	108	126	91	99	63
LOC124901300	0	2	0	0	0	0
LOC105379664	0	0	0	0	0	0
RNU6-283P	0	0	0	0	0	0
DHFRP2	4	0	1	0	0	0
MIR6891	0	0	0	0	0	0
HLA-B	852	614	1083	1292	1348	1542
LINC02571	0	0	0	0	0	0
WASF5P	0	0	0	0	0	1
RPL3P2	1741	1682	1918	1422	1370	1097
USP8P1	20	17	6	16	14	3
HLA-C	6090	4776	6841	8746	8699	7831
HCG27	3	4	7	11	9	4
PSORS1C3	0	1	3	0	1	0
POU5F1	30721	26194	39014	75434	64145	55266
TCF19	1091	736	1058	1074	925	700
RNU6-1133P	0	0	0	0	0	0
HCG22	13	10	1	0	0	1
MUC22	0	0	0	0	0	2
LINC00243	2	0	0	3	3	1
HCG20	4	1	3	3	2	2
RN7SL353P	0	0	0	0	0	0
IER3	329	283	242	2253	3385	2037
IER3-AS1	4	1	3	1	3	3
FLOT1	3991	3727	4918	4387	3843	3138
TUBB	105946	86430	108065	116490	108545	80307
MDC1-AS1	0	2	0	0	0	0
MDC1	3882	2963	3526	4241	3214	1863
LOC107987457	0	0	0	0	0	0
DHX16	1825	1653	1995	2824	2720	2076
C6orf136	328	308	409	438	336	343
PTMAP1	1	4	0	6	0	1
ATAT1	605	638	786	586	475	338
MRPS18B	1382	1329	1807	1836	1897	1638
PPP1R10	2717	1521	1975	4363	3809	2210
MIR877	0	0	0	0	0	0
ABCF1	5557	4418	5684	7353	6701	4797
PRR3	698	573	713	877	649	491
GNL1	2198	1612	2095	3379	3204	2470
LINC02569	2	2	1	1	1	3
HLA-E	1496	2035	2023	1551	1604	1376
RANP1	2520	2291	3319	3037	2818	2275
SUCLA2P1	4	10	5	19	22	5
LOC105375012	4	0	0	1	0	0
MICC	0	0	0	0	0	0
UBQLN1P1	0	0	0	0	0	0
HLA-N	0	0	0	0	0	0
RPP21	5	1	2	7	11	7
TRIM39-RPP21	0	0	0	0	0	0
TRIM39	413	343	450	603	424	340
HCG18	1369	862	849	1337	1058	531
HLA-L	69	89	86	71	48	64
HCG17	11	16	7	14	16	3
PAIP1P1	4	4	0	5	5	1
TRIM26	1237	951	1237	3103	2885	1763
TRIM15	4	2	1	5	8	18
TRIM10	2	1	0	3	2	2
TRIM40	0	0	0	0	0	0
LOC124900227	0	0	0	0	0	0
TRIM31-AS1	1	1	0	3	3	1
TRIM31	6	3	6	9	10	14
RNF39	17	14	23	53	33	50
PPP1R11	896	813	1024	1338	1310	969
POLR1H	531	525	761	561	536	526
ETF1P1	1	2	2	1	3	0
HLA-J	9	20	16	7	7	5
HCG4P3	3	9	9	1	0	1
ZNRD1ASP	98	105	88	75	64	27
LOC353007	0	0	0	0	0	0
MCCD1P2	1	0	0	1	0	0
DDX39BP2	1	0	0	0	0	0
HCG9	2	2	0	0	1	0
MICD	4	0	0	9	1	1
HLA-A	7063	6109	7792	6858	6790	6269
HLA-K	1	0	4	0	1	2
HCG4B	1	2	0	0	0	1
LOC353008	0	0	0	0	0	0
MCCD1P1	0	0	0	0	0	0
DDX39BP1	0	0	0	0	0	0
HLA-H	1473	1285	1807	1390	1568	1178
HCP5B	0	0	0	0	0	0
MICF	0	0	0	0	0	0
LOC105375010	3	2	0	0	0	0
HCGVIII-2	1	2	0	0	1	0
HLA-G	15	12	22	15	23	23
MICG	0	0	0	0	0	0
RPL7AP7	0	0	0	0	0	0
HLA-P	0	0	0	0	0	0
HCG4P9	0	0	0	0	0	0
HLA-V	0	0	0	0	0	0
HCG4	0	0	0	0	2	0
LOC353010	0	0	0	1	0	0
LOC105379663	0	0	0	0	0	0
IFITM4P	0	0	0	5	1	3
HCG9P5	2	2	2	4	0	1
MICE	20	34	42	76	43	42
HLA-F-AS1	13	14	23	29	21	17
RPL23AP1	0	0	0	0	0	0
HLA-F	95	72	113	79	80	136
ZDHHC20P1	1	0	3	2	2	3
ZFP57	3	2	3	30	38	21
MOG	1	1	2	86	84	51
SUMO2P1	1462	1412	2164	1318	1277	1190
GABBR1	1853	1398	1617	4909	3184	2024
OR2I1P	2	1	4	3	1	2
GPR53P	0	0	0	0	0	0
LINC01015	0	0	0	0	0	0
LINC02829	0	0	0	0	0	0
RPS17P1	0	0	0	0	0	0
MAS1L	0	0	0	0	0	0
LOC124905400	0	0	0	0	0	0
LOC105375008	0	0	0	0	0	0
MAS1LP1	0	0	0	0	0	0
UBDP1	0	0	0	0	0	0
OR2H1	0	0	2	0	0	1
OR10C1	0	0	0	0	0	0
OR11A1	0	0	0	0	0	0
OR12D1	0	0	0	0	0	0
OR12D2	0	0	0	0	0	0
OR12D3	0	0	0	0	0	0
OR5V1	0	0	0	0	0	0
DDX6P1	0	0	0	0	0	0
OR14J1	0	0	0	0	0	0
OR2B4P	0	0	0	0	0	0
LOC105375005	0	0	0	0	0	0
OR2U2P	0	0	0	0	0	0
OR2U1P	0	0	0	0	0	0
OR2G1P	0	0	0	0	0	0
LINC03003	0	0	0	0	0	0
OR2H4P	0	0	0	0	0	0
OR2J4P	0	0	0	0	0	0
OR2J2	0	0	0	0	0	0
OR2N1P	0	0	0	0	0	0
OR2J3	0	0	2	0	0	0
OR2J1	0	0	0	0	0	0
OR2B3	0	0	0	0	0	0
SAR1AP1	0	0	0	0	0	0
OR2P1P	0	0	0	0	0	0
OR2W1	0	0	0	0	0	0
OR2W1-AS1	0	0	0	0	0	0
OR2AD1P	0	0	0	0	0	0
LOC105375002	0	0	0	0	0	0
ZNF311	27	41	25	2	2	2
TRL-AAG3-1	2	4	2	10	3	2
HCG15	32	19	36	60	66	38
TRE-CTC1-6	0	0	0	0	0	0
TRF-GAA1-2	0	0	0	0	0	0
RN7SL471P	11	5	3	16	26	0
KRT18P1	0	2	3	0	1	3
TRM-CAT3-2	0	0	0	0	0	0
TRK-TTT3-3	0	0	0	0	0	0
TRM-CAT3-1	0	0	4	1	1	1
LINC01556	0	1	1	0	0	0
TRL-AAG2-2	0	0	0	0	0	0
TRQ-CTG1-3	0	0	0	0	0	0
TRL-CAA1-2	0	0	0	2	1	0
RNU6-930P	1	0	0	0	0	0
TRIM27	2598	1841	2442	3304	3465	2199
HCG14	3	1	6	2	0	0
TRL-CAA1-1	1	1	1	1	0	0
ZNF90P2	0	0	0	0	0	0
TRR-CCG1-2	0	0	0	0	0	0
TRA-AGC2-2	0	0	0	0	0	0
RPL13P	0	0	0	0	0	0
LINC01623	4	2	2	0	0	0
TRA-AGC2-1	0	0	0	0	0	0
TRF-GAA4-1	0	0	0	0	0	0
TRA-TGC5-1	0	0	0	0	0	0
TRA-AGC6-1	0	0	0	0	0	0
TRF-GAA3-1	0	0	0	0	1	0
TRA-TGC7-1	2	0	0	14	9	1
LOC124901504	0	0	0	0	0	0
TRA-AGC1-1	1	0	0	4	0	0
TRF-GAA1-1	0	0	0	0	0	0
TRA-TGC1-1	0	0	0	0	0	0
NOP56P1	178	118	249	248	251	218
TRA-AGC23-1	0	0	0	0	0	0
TRF-GAA5-1	0	0	0	0	0	0
TRF-GAA6-1	0	0	0	0	0	0
TRA-TGC6-1	1	3	1	12	13	3
TRK-TTT7-1	0	0	0	1	1	0
TRR-CCG1-1	2	2	0	1	0	0
TRV-AAC6-1	0	0	0	1	0	0
RPSAP2	1	4	0	1	1	0
TRA-CGC4-1	0	0	1	0	0	0
TRF-GAA11-1	0	0	0	0	0	0
TRT-AGT3-1	2	0	1	0	0	1
TRA-AGC7-1	1	0	0	0	0	0
TRA-AGC5-1	0	0	0	0	0	0
TRK-TTT13-1	0	0	0	1	0	0
LOC100288016	15	12	13	15	13	10
LOC105374297	24	30	33	24	15	14
SDHAP2	635	694	527	733	619	355
MIR570	23	16	18	28	14	11
SMBD1P	24	21	29	20	7	8
MIR570HG	13	13	12	14	8	6
LOC124905401	0	0	0	0	0	0
MUC20	9	7	8	22	22	9
MUC4	281	96	126	2298	1263	435
LOC112268340	0	0	0	0	0	0
LOC124905399	0	0	0	0	0	0
LYPLA2P1	225	140	234	348	316	310
MYL12BP3	0	1	0	0	0	0
DAXX	3559	2306	3239	3428	3029	2319
ZBTB22	656	570	536	489	456	277
TAPBP	242	191	193	189	142	92
RGL2	1472	1071	1461	1496	1148	1053
MIR6834	0	0	0	0	0	0
PFDN6	1367	1303	2111	1937	1843	1666
MIR6873	1	1	0	0	0	0
WDR46	1813	1312	1951	2990	3200	2527
B3GALT4	66	41	74	22	30	20
LOC105375022	8	5	4	4	4	1
RING1	1243	857	1227	901	866	789
MIR219A1	6	2	2	0	0	1
HSD17B8	163	211	266	54	43	66
SLC39A7	4462	3841	5138	5342	5241	3683
RNY4P10	1	0	2	2	2	2
RXRB	695	743	808	661	628	378
HCG24	0	0	2	3	3	1
LOC105375021	2	1	0	42	24	4
LOC124905396	0	0	0	0	0	0
MTCO3P1	0	0	0	0	0	0
RNU1-116P	0	0	0	0	0	0
HLA-DRB2	0	0	0	0	0	0
HLA-DRB3	0	0	0	0	0	0
LOC124905397	0	0	0	0	0	0
RNA5SP206	0	0	0	0	0	0
C4A	76	72	85	100	65	31
ZBTB12	746	484	541	503	383	240
SNORD52	35	22	49	38	28	29
SNORD48	14	19	20	26	16	13
SNHG32	1694	1542	2254	1804	1557	1248
HSPA1B	2262	2017	2299	3384	4295	3990
HSPA1A	2101	1945	2082	3314	4306	3950
HSPA1L	60	51	67	78	78	60
LSM2	2189	1913	2483	2561	2326	1927
LOC105375020	0	0	0	0	0	0
LOC105379656	0	0	0	0	0	0
CCHCR1	1334	1402	1709	903	722	647
POLR2LP1	0	0	0	0	0	0
PSORS1C2	11	12	5	25	12	11
CDSN	5	7	8	28	19	15
PSORS1C1	4	7	12	14	10	11
C6orf15	0	0	0	0	2	1
MUC21	0	0	0	0	1	0
NAPGP2	0	0	0	0	0	0
HCG21	1	1	0	1	1	1
MUCL3	7	4	5	17	6	2
LOC124901299	0	0	0	0	0	0
SFTA2	0	0	0	0	1	0
VARS2	2204	1692	1953	1366	1084	737
GTF2H4	1391	1210	1585	1285	1279	1018
MIR4640	0	1	0	0	0	0
DDR1	7536	5031	5534	4166	3446	2600
RN7SKP186	0	0	0	0	0	0
LINC02570	83	23	39	374	235	172
LOC124905395	0	0	0	0	0	0
RPL7P4	2	0	0	1	1	0
NRM	1254	1053	1152	654	534	568
PPP1R18	1483	1262	1647	2206	2405	1485
TMPOP1	3	1	0	0	3	1
TRIM26BP	0	0	1	3	1	2
HLA-W	5	3	1	1	2	0
LOC124905394	0	0	0	0	0	0
LOC353009	0	0	0	0	0	0
LOC107987452	0	0	0	0	0	0
HCG4P11	0	0	0	0	0	0
OR2H2	17	14	8	30	8	14
RPL13AP	2	0	0	0	1	0
SNORD32B	0	0	0	0	1	0
TMEM183AP1	1	0	0	0	0	0
OR2H5P	1	2	0	0	0	1
UBD	0	0	0	0	0	0
LOC124905393	0	0	0	0	0	0
LOC105379641	0	0	0	0	0	0
LOC112268339	0	0	0	0	0	0
LOC124905398	0	0	0	0	0	0
LOC112268337	0	0	0	0	0	0
HLA-DQB1-AS1	1	3	15	24	21	22
FKBPL	378	269	368	333	303	311
ATF6B	1532	1247	1698	1694	1480	1192
LOC110384692	0	0	0	0	0	0
LOC112267902	0	0	0	1	0	0
HCG4P8	0	0	0	0	0	0
LOC107987447	0	0	0	0	0	0
LOC124901486	0	0	0	0	0	0
LOC124905392	0	0	0	0	0	0
LOC124905352	0	2	0	19	17	3
LOC112268336	0	0	0	0	0	0
LOC124901302	13	6	12	10	10	3
LOC124905389	0	0	0	0	0	0
LOC100294188	0	0	0	0	0	0
LOC112268335	0	0	0	0	0	0
LOC124905388	0	0	0	0	0	0
HLA-S	0	0	0	0	0	0
ZDHHC20P2	0	0	0	0	0	0
LOC124905390	0	0	0	0	0	0
LOC107987443	0	0	0	0	0	0
LOC124905387	0	0	0	0	0	0
LOC105374298	0	0	0	0	0	0
LOC124905391	0	0	0	0	0	0
TCF20	3188	2449	2237	3300	3036	1377
CYP2D8P	10	5	9	9	5	5
LOC105377203	2	3	2	8	3	0
CYP2D7	32	37	46	40	28	32
LOC102723722	0	0	0	0	0	0
CYP2D6	60	56	74	80	77	54
OLA1P1	319	294	323	309	268	156
NDUFA6-DT	105	93	93	74	94	55
NDUFA6	2321	1991	2824	2546	2746	2150
SMDT1	384	404	453	457	485	367
PHETA2	209	85	145	94	110	101
LOC107987441	0	0	0	0	0	0
LOC124905386	0	0	0	0	0	0
MUC2	0	1	0	1	0	0
LOC107987157	0	0	0	0	0	0
LINC02688	0	0	0	0	0	0
LOC124905385	0	0	0	0	0	0
MUC6	1	2	3	13	5	1
AP2A2	2890	1869	2206	2757	2638	1564
RNU6-1025P	0	0	0	0	1	0
LOC105377779	0	0	0	1	1	1
MIR3674	0	1	0	1	1	1
CLN8	1021	835	993	2090	2099	1235
CLN8-AS1	180	190	215	127	122	138
LOC124905384	0	0	0	0	0	0
LOC105377778	0	2	3	4	2	1
LOC100130321	0	0	0	0	0	0
LOC124901870	0	0	0	0	0	0
DLGAP2	98	72	57	70	70	32
DLGAP2-AS1	0	0	0	0	0	0
LOC124905383	0	0	0	0	0	0
LOC124905382	0	0	0	0	0	0
LOC112267927	0	0	0	0	0	0
LOC100294160	0	0	0	0	0	0
LOC124905381	0	0	0	0	0	0
LOC124905380	0	0	0	0	0	0
LOC107987440	0	0	0	0	0	0
LOC124905379	0	0	0	0	0	0
LINC01596	0	0	0	0	0	0
LOC105377619	0	0	1	0	0	0
FRG1-DT	45	35	44	19	23	13
RNU1-51P	0	0	0	0	0	0
LOC105377616	5	2	2	9	3	9
LOC107987311	0	0	0	0	0	0
LINC01262	0	0	0	1	0	0
LOC105377615	0	0	0	1	0	0
HSP90AA4P	189	199	222	267	309	214
LOC105377614	0	0	0	0	0	0
KRT18P53	0	0	0	0	0	0
FABP5P13	0	0	0	0	0	0
LOC102723840	0	0	0	0	0	0
LOC124900588	0	0	0	0	0	0
LOC101929829	0	0	0	0	0	0
LOC107987438	0	0	0	0	0	0
LOC124905377	0	0	0	0	0	0
LOC124905378	0	0	0	0	0	0
LOC105372225	50	32	107	56	26	33
SALL3	1734	915	1350	2492	1624	878
LINC01896	388	308	518	349	242	146
LOC105372221	0	0	0	0	1	0
LOC105372220	0	0	0	2	0	0
LOC105372219	0	0	0	0	0	0
WNT9B	33	29	18	49	75	41
LOC101929777	4	3	2	2	0	4
WNT3	357	371	310	1774	2098	1383
RPS7P11	2602	2537	3576	2539	2492	1973
LOC107985026	1	0	0	0	1	0
NSF	1892	1679	1952	1931	1928	1409
LOC124905375	0	0	0	0	0	0
RN7SL199P	2	2	0	0	1	1
LRRC37A2	1177	1101	1066	897	896	483
ARL17A	757	603	666	594	427	406
RDM1P2	11	8	13	19	7	2
LOC124905376	0	0	0	0	0	0
LOC124904014	10	18	16	6	4	4
LOC100132570	10	15	18	8	6	4
DND1P2	126	119	172	186	160	117
MAPK8IP1P1	53	37	41	79	63	51
KANSL1-AS1	62	50	80	37	51	31
LOC107985027	4	1	3	6	1	1
KANSL1	2240	1832	2058	1941	1592	1019
STH	0	0	1	0	0	0
LOC105371800	0	0	0	0	0	0
MAPT-IT1	1	2	0	0	0	0
MAPT	100	128	163	6	22	21
SPPL2C	0	0	0	0	0	0
MAPT-AS1	0	0	0	0	0	0
CRHR1	1	0	3	2	3	0
LOC107985028	0	0	2	0	0	0
LOC105371802	1	0	0	0	0	0
ARF2P	109	143	132	76	58	43
LINC02210-CRHR1	1	1	0	0	0	0
LINC02210	212	285	415	158	100	112
RPS26P8	1465	1165	2175	2153	2289	1734
MAPK8IP1P2	40	28	46	67	49	43
DND1P1	122	96	124	146	91	69
RDM1P1	2	6	10	8	1	2
LOC102724345	59	39	68	42	23	26
LRRC37A4P	2369	1538	1509	1285	706	404
LOC112267925	0	0	0	0	0	0
LRRC37A3	359	289	301	323	308	113
LOC105369225	127	93	103	110	107	69
LOC124904113	0	0	0	0	0	0
MIR4315-1	0	0	0	0	0	0
PLEKHM1	562	343	485	576	562	562
ARHGAP27	369	273	443	257	246	242
LOC105371796	2	2	0	2	4	1
RNA5SP443	0	0	0	0	1	1
KRTAP9-12P	0	0	0	0	0	0
KRTAP9-2	0	0	0	0	0	0
KRTAP9-4	0	1	0	0	0	0
KRTAP9-9	1	0	0	0	0	0
KRTAP9-6	0	0	0	0	0	0
KRTAP9-11P	0	0	0	0	0	0
KRTAP9-7	0	0	0	0	0	0
KRTAP9-10P	0	0	0	0	0	0
KRTAP29-1	1	0	0	0	0	1
LOC124900636	0	0	0	0	0	0
TBC1D3I	166	197	280	243	159	193
LOC124900635	0	0	0	0	0	0
CCL4L1	0	0	0	0	0	0
CCL3L1	0	0	0	0	0	0
LOC124905374	0	0	0	0	0	0
CCL3P1	0	0	0	0	0	0
LOC124905373	0	0	0	0	0	0
TBC1D3G	531	527	532	499	476	314
LOC100420853	0	0	1	3	3	2
YWHAEP6	0	0	0	0	0	0
LOC105379635	0	0	0	0	0	0
CCL4L2	0	0	0	0	0	0
CCL3L3	0	0	0	0	0	0
TBC1D3B	0	0	0	0	0	0
LOC100420851	85	71	67	91	65	67
LOC100419980	0	0	0	0	0	0
LOC101927369	0	0	0	0	0	1
RN7SL301P	0	0	0	0	0	0
CCL4	0	0	0	0	0	0
CCL3	0	2	8	1	4	0
CCL18	0	0	0	1	0	0
MIR3183	0	0	0	0	0	0
LOC105371481	3	1	5	0	3	3
ABR	2395	1487	1761	1882	2102	1142
