Gene	  Oocyte	 Zygote	2cell 	4cell 	8cell 	Morulae	Trophectoderm	Primitive 	epiblast	hESC p0	hESC passage10
ADAM5P	0	0	0	0.024	0.376	0.13	0	0	0	0	0
STK16	0.372	2.068	2.218	2.297	2.028	1.863	2.776	9.329	7.013	2.657	2.607
ARID3C	0	0	0	0	0.176	0	0	0	0	0	0
KIAA1486	3.245	1.721	0.749	1.505	0.665	0.566	0.135	0	0.117	0.173	0.262
TOB2	7.831	4.857	3.775	3.271	6.884	12.225	7.219	6.951	12.253	19.882	13.052
BANK1	2.766	2.701	1.395	4.769	2.517	2.582	0	0	0	0	0
OR2V2	0.172	0.099	0.045	0.593	0	0	0	0	0	0	0
SFTA2	0	0	0.03	0	0.035	0	0.239	0	0	0	0
GRM2	0	0	0.019	0.038	0.194	0	0.044	0	1.493	0.852	0.888
PROSC	65.674	37.521	20.674	17.331	11.027	10.017	35.265	16.322	19.18	17.76	28.351
SPIN2B	0	0.091	0	0.032	4.554	1.802	0	0	0.802	6.802	6.734
PIR	0.391	0.304	0.308	0.609	0.11	0	25.785	47.367	30.33	12.065	17.592
IPO9	5.726	5.532	4.124	4.759	4.913	3.312	8.691	8.229	7.728	13.858	20.135
FLJ26850	0.972	0.074	0.103	0.025	0.17	0.048	0	0	0	0	0
EVC	0.259	0.562	0.271	0.428	0.09	0	0	0	0	0.087	0.353
CXCL13	0	0	0	0.014	0.253	0	0	0	0	0	0
KIAA1199	0.061	0.209	0.146	0.253	0.107	0.067	0	0	0	0.012	0.005
SORL1	1.281	0.705	0.34	0.768	0.271	0.206	0.363	0.485	1.603	11.742	11.694
NAT10	3.356	15.832	13.581	16.003	7.872	6.391	11.102	10.254	6.858	8.615	9.91
CHD1	20.132	22.519	10.272	5.124	30.519	26.59	15.173	6.681	13.26	18.203	10.194
SYN3	1.183	2.785	1.848	2.833	0.786	0.861	0.087	0	0	2.005	6.627
SLC22A2	3.894	2.531	4.464	2.43	0.843	0.166	0	0	0	0.035	0.375
SERPINF1	83.895	50.572	36.642	120.288	92.323	84.159	5.834	2.801	0	3.719	8.346
WDR34	11.581	9.989	9.659	17.227	8.743	13.533	34.926	45.075	12.592	36.712	33.79
OR7A17	0	0	0	0	0	0	0.005	0	0	0	0
POTED	0	0.126	0.024	0.079	0.121	0.042	0	0	0	0	0
C9orf11	0	0	0	0	0.074	0	0.136	0	0	0	0.016
EPT1	1.823	4.71	3.206	5.065	6.066	4.125	9.152	8.499	5.75	4.763	4.344
RNF216L	61.454	34.514	43.012	32.695	51.689	66.847	17.781	8.507	15.723	45.011	21.86
LHB	0.077	0.102	0.649	0.109	4.879	4.983	0	0	0	0.916	0.287
TAOK3	349.543	245.125	145.388	100.939	85.275	61.819	60.155	25.807	41.417	8.001	5.53
STK25	16.312	16.435	9.511	19.085	8.808	6.893	19.967	19.21	13.242	31.165	38.857
C3orf39	5.037	4.743	2.212	2.51	1.955	5.469	8.397	6.468	7.5	14.293	10.63
CDC25B	54.78	89.771	108.136	115.626	101.958	134.143	8.634	6.722	28.116	2.615	5.317
BMP3	0	0	0	0.066	0	0.043	0.036	0	0.025	0.016	0.025
TMEM180	0.036	0	0.06	0	2.608	7.19	2.954	1.607	0.211	3.237	5.736
MAP1LC3C	8.026	8.112	7.418	5.973	9.277	10.846	6.237	8.588	6.005	11.563	12.942
MIR564	0	0	0	0.038	0	0	0	0	0.306	0.094	0.028
CRYGC	0	0	0	0.2	6.424	1.733	1.385	1.591	0	0	0.007
POU3F1	0.077	0.055	0.027	0.224	0.593	0.211	0	0	0	1.1	1.249
C4orf11	0	0	0	0.153	0	0	0	0	0	0	0
HIGD1B	0	0	0	0.032	0	0.019	0.076	0.046	0	0	0.478
USP6NL	1.464	7.959	4.765	10.581	6.033	2.185	2.196	4.03	0.024	2.735	4.93
ABCD4	78.981	29.673	22.579	35.282	10.793	6.149	2.392	14.501	11.526	19.372	22.637
C11orf93	0	0	0	0.258	1.108	0	0	0	0	1.063	0.653
DIMT1L	11.313	14.063	7.473	13.192	41.347	41.745	87.869	48.971	51.532	39.579	43.643
TEK	4.908	15.568	4.143	11.693	3.879	0.025	0	0.585	0.132	0.136	3.268
SLC25A46	26.386	94.471	86.194	107.782	46.724	11.343	12.141	7.496	14.975	11.022	6.439
LARP7	383.005	577.784	289.195	69.248	28.691	43.818	65.775	26.641	20.803	51.502	33.31
CD160	0	0	0.046	0.095	0.186	0.058	0	0	0	0.037	0.157
PHF20	25.294	17.08	9.935	12.986	9.467	12.433	5.354	5.641	8.51	25.419	25.705
CPNE4	4.099	7.632	4.856	9.369	1.545	0.612	0.366	0	0	0.586	0.734
GTPBP1	0.469	2.516	2.162	3.621	2.344	2.183	3.357	1.656	1.013	6.996	10.255
RAB33B	1.199	2.635	1.11	2.897	8.109	3.022	1.295	2.008	0.34	2.198	1.866
ALDOC	0	0	0	0.015	11.28	1.328	0.135	21.311	2.322	27.162	38.259
ZNF212	1.226	5.898	3.172	9.339	19.868	19.797	2.558	2.979	5.64	4.491	5.402
NUDT1	7.729	3.258	1.659	4.007	14.362	46.072	46.822	57.914	74.691	100.314	157.564
RFPL2	0.451	0.097	0	6.461	157.669	24.927	0.016	0.015	0	0	0.014
ZNF83	1.911	6.191	3.649	14.034	7.702	9.082	4.217	10.646	0.29	3.349	2.948
IPW	0.387	0.852	0.581	0.895	0.365	0.74	3.179	3.396	2.268	53.589	38.527
GDPD5	0.131	1.314	1.579	1.862	1.044	0.532	5.226	0.594	0.568	0.084	1.614
PDCD4	2.621	4.055	2.443	2.58	4.567	1.433	0.868	0.181	1.059	2.465	3.998
LOC100128788	0.746	0.224	0.244	0.527	1.734	0.433	1.244	0.085	0.044	0.231	0.775
CEP350	10.755	8.489	4.783	4.921	8.313	6.63	6.642	0.411	6.251	4.399	4.747
OR10A2	0	0	0	0	0.018	0	0	0	0	0	0
CST7	0	0	0	0	0.023	0.011	0	0	0	0	0
SELL	0	0	0	0	0	0	0.035	0	0	0	0
CIAO1	11.113	6.377	3.45	4.272	11.441	23.48	46.539	46.454	58.179	33.585	30.078
LTBP4	0.686	0.873	0.827	2.48	1.016	0.374	0.069	0.023	0.601	0.421	0.732
DCAF4L1	9.394	13.049	11.584	16.785	10.779	5.741	0.42	0	1.463	0.12	0.362
SIRT6	0.293	1.1	1.626	0.724	2.354	2.58	1.687	2.117	1.191	2.311	3.849
CCL19	0	0	0.074	0	0	0	0	0	0	0	0
PPIL1	53.617	31.504	20.388	12.462	64.714	131.497	155.116	128.623	92.362	153.272	126.8
GBP7	0	0	0	0.022	0.02	0	0	0	0	0	0
ANKRD56	0	0	0	0	0	0	0.075	0	0.099	0	0.038
STK17A	0.156	0.239	0.019	0.218	9.343	11.778	5.23	1.004	7.129	4.266	2.305
ABR	4.074	5.947	6.649	19.461	5.222	1.972	8.367	11.164	22.135	2.651	2.655
PCDHA13	0	0	0	0	0.086	0.333	0	0	0	0.18	0.482
FOXE1	0.245	0.285	0.163	0.531	0.272	0.732	1.236	0	0.024	0	0
SIAH3	1.445	0.775	1.023	2.646	1.438	1.658	0	0	0	0	0
RIMBP3B	0	0	0	0	0	0	0	0	0	0	0.004
GML	8.509	4.227	5.321	7.698	1.667	1.391	0	0	0	0	0.009
CNGA3	0	0	0	0.129	0.018	0	0	0	0	0	0
CD38	3.706	9.771	5.112	15.018	2.268	2.406	0.044	0.033	0	0	0.015
ZDHHC6	4.225	4.821	2.324	4.351	5.144	16.078	30.401	17.982	19.583	22.091	16.628
NEFH	24.103	60.539	48.108	24.41	26.088	40.474	16.443	9.85	54.356	13.097	3.142
DLX6AS	0	0.423	0.072	0	0.142	0.098	0.06	0	0.052	0.032	0.011
PGBD5	4.043	1.856	1.411	2.344	0.09	0.512	0	0	0	5.223	3.424
CTDSP2	7.329	6.887	7.264	9.411	22.339	12.469	7.713	11.902	6.319	21.67	13.441
ZNF257	1.112	4.699	4.341	1.423	5.409	8.602	5.583	4.2	15.328	5.034	3.404
RMND5B	0.646	8.582	6.845	12.591	2.764	2.855	6.396	13.484	4.689	11.95	13.298
CCNY	9.996	4.607	3.325	3.107	2.061	2.611	20.064	21.979	20.574	15.561	16.331
EXOSC7	236.906	100.259	97.034	127.23	30.042	40.138	66.957	105.712	73.035	89.162	91.429
C11orf88	0	0	0	0	1.931	1.556	1.235	6.644	0	0	0
ROR2	0	0.04	0	0.291	0.888	0.14	0	0	0	0.901	0.954
LOC338758	0.239	0.228	0.076	0.385	0.955	1.133	0.164	0.037	0.077	0.494	3.969
MAOA	0	0	0	0	0.653	0.042	1.087	0.022	0	0.084	1.272
TNNT3	0	0	0	0.029	0	0	0	0	0	0	0
GYPC	0	0	0	0	0	0	0.054	36.513	52.914	4.092	10.096
MIR3120	0	0	0	0	0	0	0	0	0	0	0
C7orf33	0.121	0.039	0.096	0.279	0.171	0.107	0	0	0	0	0
RNF4	33.378	42.425	25.627	28.438	197.041	97.876	52.645	50.589	46.205	65.545	48.132
F8A1	4.677	11.218	7.876	5.996	0.964	0.729	0	0	0.778	6.859	7.595
HDAC7	0	0	0	0	0.051	0.48	0.538	2.058	1.545	12.458	9.51
PLEKHG4	0	0	0	0	0	0.051	0.309	0.256	0.025	0.687	0.724
GRIK1AS	0	0	0	0	0.155	0	0	0	0	0	0
GRB2	2.053	1.808	0.394	0.902	108.903	57.706	59.69	58.19	42.356	55.824	45.537
AGPHD1	2.411	0.795	0.359	0.841	5.048	5.164	2.156	5.291	0.384	2.86	2.342
HSPC072	0.091	0.137	0.086	0.118	0.384	1.5	0.09	0.021	0.063	0.011	0.565
HIST1H2AD	0	0	0	0.308	13.874	2.535	2.831	0	0.045	0.14	4.419
DUS3L	0.344	0.918	0.503	0.327	6.756	12.161	6.043	11.21	13.906	11.367	5.818
EIF1	1328.618	912.229	1205.919	1079.156	2196.775	2458.513	859.283	979.585	966.285	436.112	569.573
C3orf66	0	0	0	0.009	0.2	0.007	0	0	0	0	0
FPGT	2.269	4.716	2.551	1.774	0.529	2.411	1.721	0.095	0.59	2.505	0.61
CHST15	8.293	6.134	2.872	7.325	3.186	7.055	2.192	2.076	3.055	4.046	3.525
GPN2	4.246	12.568	9.808	14.158	7.663	24.302	5.432	20.402	7.502	9.834	12.08
GDF10	0.04	0	0	0	0	0	0	0	0	0.082	0
COQ9	15.34	7.225	4.913	10.967	9.622	7.795	16.544	23.762	40.552	19.588	18.278
TRAPPC9	1.933	2.158	1.35	4.111	1.368	0.173	0.087	1.214	0	0.405	0.672
DKFZP434I0714	0	0.158	0	0.159	0.598	3.903	0.478	0	0	1.406	1.62
GCC2	27.734	25.428	19.213	10.157	10.951	13.441	7.2	5.338	9.614	7.081	10.181
RARRES3	0.053	0.035	0.059	0	0.049	0	0	0	0	1.899	1.103
PLXNA1	0.929	0.761	1.001	1.154	0.615	0.8	1.786	4.265	2.25	1.688	3.139
KIAA0100	0.456	3.316	2.594	4.14	1.863	0.698	0.65	0.713	0.251	0.51	1.728
PMF1	2.309	1.516	1.423	3.437	1.37	1.408	43.89	36.788	20.406	95.143	123.165
FNDC1	0	0	0	0	0	0	0	0.018	0	0	0.074
HS2ST1	1.395	2.684	1.711	1.16	4.04	2.111	1.828	3.075	4.128	2.859	2.022
CRELD2	73.487	47.363	38.871	43.169	20.985	7.776	3.375	1.78	6.562	13.394	6.423
CD82	52.779	74.342	80.899	74.576	36.871	108.948	6.02	3.186	6.395	12.252	14.289
C8G	0.076	0	0	0	0	0	0.037	0	0	0	0.126
LOC100132526	0.125	0.389	0.287	0.278	0.237	0.217	0.115	0	0.081	0.183	0.103
LIM2	0	0	0	0.031	0.627	1.143	0.014	9.9	6.493	0	0.13
MMP16	0	0	0	0.036	0	0	0	0	0	0.924	0.825
MIMT1	0	0	0	0	0	0	0	0	0	0	0
LOC100133091	0.172	0.152	0.082	0.224	1.024	1.092	0.279	0.507	0.961	1.469	0.574
DRD3	0	0	0	0	0	0	0	0	0	0.998	0.301
PTP4A2	106.227	105.469	75.662	82.115	65.308	47.113	144.138	41.384	93.05	156.57	97.829
OR4M2	0	0	0	0	0.02	0	0	0	0	0	0
C11orf73	15.973	4.035	2.146	5.335	3.45	3.318	89.329	73.694	54.593	93.877	104.991
HPCA	0.044	0.113	0.051	0.188	0.183	0.197	0	0	0	0	0.006
SEC14L1	49.972	37.991	36.495	53.398	25.919	15.912	3.123	2.488	2.843	8.03	6.751
EMILIN1	0	0	0	0	0.053	0	0	0	0	0.012	0.185
CHFR	16.616	12.308	5.756	12.762	6.196	3.457	8.68	16.677	7.995	10.074	9.289
NDUFS4	30.881	23.226	21.247	40.521	42.364	30.727	107.323	114.903	92.916	116.326	132.292
COL18A1	0.065	0.745	0.907	0.948	0.109	0.01	0.014	0.936	2.164	4.119	12.428
PDZD3	0	0	0.034	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	6.77	20.286	1.154	0	0	0	0	0
WBSCR26	0	0	0	0	0	0	0	0	0	0	0.505
C9orf16	2.752	2.931	2.444	10.334	16.887	16.432	4.732	46.275	8.382	70.771	145.251
ERBB2IP	2.772	8.949	5.033	5.465	4.393	5.21	11.746	6.086	18.847	1.802	2.782
FUS	1.069	8.098	9.767	2.697	32.455	35.827	21.179	26.47	17.191	22.618	38.891
EMX2	0.119	1.546	3.02	1.622	1.346	1.446	0.948	0.523	0.811	0.716	0.75
TF	0	0	0	0	0	0.36	0	0	0	0.139	0.217
CXorf56	31.517	30.947	21.52	21.747	32.159	15.432	6.136	7.902	2.854	5.913	4.907
CLCN4	6.563	10.817	4.511	9.657	2.215	1.667	0	0	0	0.972	1.149
NPR1	0	0	0	0	0.32	0.462	0	0	0	0.901	1.701
ELAC2	9.261	17.436	10.464	24.641	30.847	22.792	23.09	22.789	26.623	12.731	16.918
CELA1	1.678	1.594	0.915	2.353	1.844	1.861	2.751	3.182	0	0	0.014
ASS1	3.217	5.008	3.264	10.284	2.234	0.435	25.251	46.488	4.366	26.593	96.231
USP42	0.17	0.375	0.209	0.553	5.797	4.366	1.789	0	6.648	4.602	2.996
SEC23IP	19.64	20.096	13.698	15.394	5.137	7.314	10.068	5.334	5.117	23.694	13.701
POLR2J	126.448	67.446	93.417	94.435	58.13	35.077	71.313	99.34	36.073	38.268	55.975
C6orf176	0	0	0	0	0	0	0	0	0	0	0.127
UQCRC1	10.593	12.753	5.852	13.632	20.365	48.75	147.326	243.102	109.718	146.794	275.915
LOC729603	0.404	1.108	1.421	0.736	2.162	3.389	2.348	0.592	1.443	4.138	4.199
POLG	2.476	3.911	2.255	3.871	8.09	7.15	4.327	4.324	2.676	4.416	5.858
ADAM23	0.598	1.444	0.687	0.566	0.506	1.428	3.371	0.982	3.776	1.53	2.941
TFR2	2.074	5.093	4.987	3.732	1.903	0.257	0.166	0	0.029	0.447	1.21
RICTOR	3.103	4.997	3.556	5.698	2.506	0.947	0.866	0.937	0.422	1.308	0.325
GRXCR2	0.054	0	0	0	0	0	0	0	0	0	0
FLJ42709	0.622	1.104	0.58	1.036	0.358	0.043	0	0	0	0.253	0.441
SNORD105	0	0	0	0	0	0.2	0	0	0	0	0
IDO2	0	0	0	0.336	0	0.385	0	0	0	0	0
HLA-J	0	0	0	0	0.163	0.047	0.036	0	0	0.056	0.038
C19orf55	0.153	0.972	0.482	1.082	0.575	0.094	0.1	0	2.639	0	1.131
SNAPC1	35.04	42.153	14.824	5.551	38.451	37.273	3.296	8.838	6.452	10.098	11.258
GNA11	753.933	286.503	263.454	268.187	80.246	78.798	38.314	28.443	51.408	26.466	34.754
CCDC52	19.492	18.816	12.653	19.798	8.03	5.945	4.138	1.702	1.845	3.951	1.246
LOC654342	16.63	9.855	7.463	6.229	8.021	7.771	4.769	7.097	7.168	3.089	0.132
FSIP1	0.565	0.608	0.47	0.605	0.507	0.153	0	1.03	0	0.517	0.359
CELA3A	0.207	1.133	1.597	2.002	4.461	2.329	0.006	0	0	0	0.005
UPF3A	89.224	73.527	41.01	34.414	17.921	14.412	39.617	52.603	20.336	52.749	35.052
IGSF11	30.589	20.567	13.933	3.17	0.454	0.253	0.09	0	0.028	0.505	0.153
LAGE3	28.07	12.846	12.459	9.126	3.636	0.452	1.745	11.461	1.772	6.045	6.563
CHST6	0.075	0.124	0.229	0.343	0.822	2.913	0.376	0.024	0.391	0.949	1.67
UNC13B	0.479	1.348	0.731	2.497	2.408	1.92	3.118	4.831	9.61	8.086	6.532
SUZ12P	0	0.069	0.033	0.015	1.855	2.169	2.049	1.551	3.088	1.231	2.96
TTLL4	5.573	41.273	35.759	44.199	10.289	5.494	12.38	11.517	29.985	6.264	7.745
ZNF687	0.037	1.737	1.761	2.834	1.859	0.356	0	0	0	0.177	0.04
SDC2	2.051	4.006	1.954	3.068	5.113	6.848	0	2.848	0.889	5.882	16.099
COX7A2	64.714	42.584	41.24	58.557	64.499	74.559	181.734	349.067	232.711	134.48	292.138
CETN4P	0.304	0.266	0.387	1.026	0.767	1.556	0	0	0	0.011	0.012
LOC100132707	10.325	5.067	5.656	9.104	0.858	0.549	0.872	0.434	1.321	0.505	0.468
LAMB4	0.664	0.741	0.46	0.47	0.056	0.051	0.135	0	0	0	0
FAM24A	0	0	0	0	0.007	0	0	0	0	0	0
PDP1	14.851	17.896	10.015	14.467	15.239	10.796	1.831	2.2	4.404	4.125	5.294
LRRTM3	0	0	0	0.017	0.101	0	0	0	0	0.563	0.232
GPHB5	0	0	0	0.12	0.166	0.331	0	0	0	0.204	0
AHCYL2	1.455	2.806	2.471	8.244	2.032	3.733	0.467	1.331	0.374	1.58	0.608
IZUMO2	0.173	0.253	0.347	0.259	0.165	0	0.533	0	0	1.455	0
FLJ39739	0	0	0.055	0.164	1.042	1.053	0.446	0.089	0.562	1.573	2.966
NCRNA00052	0.103	1.343	0.349	1.321	0.644	0.554	0	0	0	0	0.461
HABP4	12.014	14.894	7.702	6.22	4.491	1.817	0.482	0.805	4.234	1.792	2.332
TMEM125	0.738	1.401	1.257	5.294	0.732	0.16	0	1.525	0	6.566	8.911
CNTN2	0	0	0	0.015	0	0	0	0	0	0.017	0.324
ASNSD1	23.932	20.719	15.039	18.181	10.738	19.079	19.17	18.528	7.716	16.364	10.552
FUT4	0.616	0.358	0.291	0.335	33.869	24.361	8.014	7.494	0.472	2.066	1.404
BAGE4	1.432	1.025	0.97	1.967	2.209	4.511	0.81	0.048	0.17	0.057	0.04
RP9	33.484	41.004	20.614	20.958	9.239	17.342	5.889	16.47	8.804	7.455	6.725
ARAP1	0	0.225	0.447	0.405	0.268	0.508	1.234	4.109	3.984	2.815	2.368
CDH8	4.536	0.686	1.019	3.825	1.546	0.107	0.564	4.935	0.942	3.233	3.445
AGPS	3.193	4.772	2.514	4.288	0.937	0.711	7.656	4.408	14.435	6.865	4.528
PP14571	0	0	0	0.325	0.139	0	0.991	0.484	1.806	0	0
FAM90A9	0	0	0.034	11.428	1.741	4.451	0	0	0	0	0
CLEC4GP1	2.89	7.675	7.641	6.646	6.863	15.744	16.576	5.489	17.739	9.14	4.149
PECI	15.185	25.419	10.981	10.285	3.894	7.906	10.244	17.28	5.706	52.132	73.847
UNG	180.915	171.042	217.97	205.699	79.818	62.801	52.688	84.24	24.987	81.632	81.454
LOC284344	0	0.066	0	0.505	0.021	0.009	0	0	0	0	0
GSTP1	7.105	2.283	1.123	1.913	11.353	9.846	681.106	821.517	1260.984	1190.396	1960.93
DCUN1D5	17.18	11.891	9.898	8.398	5.797	6.771	19.632	13.861	12.456	25.073	22.215
SLC9A3R1	6.752	49.584	34.214	34.508	10.296	28.246	69.864	147.544	27.974	33.962	43.044
LILRA6	0.035	0.122	0.107	0.099	0.03	0.264	0.057	0	0.029	0.071	0.067
CHMP7	29.089	12.947	8.077	10.543	10.378	7.11	6.828	8.049	10.386	9.047	12.885
REM2	0.041	0	0	0	0.378	0.967	0	0	0	0	0.039
DNHD1	0	0	0	0.012	0.162	0.027	0.165	0.036	0.132	0.074	0.088
FKBP4	1.768	15.244	10.321	17.014	35.951	14.386	46.509	39.822	28.886	42.862	31.647
ZNF350	1.519	8.842	5.967	11.815	23.227	23.747	0.702	3.047	8.995	6.316	2.62
BST1	0	0	0	0	0.38	0.03	0.021	0	0.058	2.307	0.527
KISS1R	0	0	0	0	0	0	0	0	0	0	0.277
NCR2	0	0	0	0	0	0.018	0	0	0	0	0
UBE2W	28.914	54.505	34.356	21.657	22.041	16.821	5.512	1.317	4.309	9.655	5.364
OR2T29	0.065	0.188	0.082	0.124	0	0	0	0	0	0	0
SNORA78	0	0	0	0	0.02	0	0	0.059	0	0	0
KRT15	0.088	0.176	0.047	0	0.398	0.305	0	0	2.536	0	0
C10orf99	0	0	0	0.247	0.017	0	0	0	0	0	0
SCN11A	0.046	0	0.074	0.158	0.412	0.694	0.193	0.045	0.235	0.211	0.206
GFI1	0.403	0.513	0.762	1.033	1.139	0.249	0.027	0	0	0	0
FHL1	0.048	0.297	0.12	0.242	2.992	0.748	0.043	0.075	0.049	29.391	29.856
SMC6	23.01	26.731	17.39	6.645	4.331	7.306	27.728	9.131	21.438	19.381	17.231
OSGEP	0.222	0	0.036	0.17	5.89	14.156	23.113	28.007	42.853	26.769	34.732
TTTY14	0	0	0	0	0	0	0.007	0	0	0.146	0.132
LPIN3	0	0	0	0.169	0.909	0.878	0.024	0	0.03	0.322	0.452
RPL4	284.89	165.962	168.045	455.432	1024.068	2926.009	2234.869	2725.736	2617.295	2187.349	2280.805
RBPMS	23.385	11.399	11.38	9.163	3.606	3.239	14.174	20.963	21.449	25.236	40.235
PRPF3	24.95	43.909	31.721	47.23	46.76	47.242	19.792	24.39	6.771	12.27	18.654
HEJ1	0	0	0	0	0	0	0	0	0	0	0
EMR1	0	0	0	0.337	2.344	1.231	0	0.953	0	0	0
SPATA19	0	0	0	0.058	0	0	0	0	0	0	0
XCR1	0.059	0.711	1.068	1.16	0.073	0	0	0	0	0	0
IRX3	0	0	0	0	4.852	5.384	0.096	2.111	0.326	0.196	0.529
ELFN1	0.243	0.531	0.363	0.413	0.218	0.292	0.281	0.676	0	0.099	0.591
RBM6	12.378	21.948	16.272	24.908	21.101	19.99	17.161	7.157	11.827	10.629	23.963
KLF4	0.25	0.364	0.324	2.203	96.447	82.476	28.097	20.065	149.312	94.023	16.184
LOC729177	0	0	0	0	0	0.032	0	0	0	0	0.047
UNC5CL	0	0	0	0	0	0	0	0.85	0	0	0.094
C16orf71	1.124	1.803	0.879	3.848	1.181	0.385	0	0	0	0.058	0.032
LOC100128252	14.688	28.936	15.768	18.632	10.609	59.542	6.691	3.038	4.81	24.55	23.969
SEBOX	0	0	0	0	0.117	0	0	0.034	0	0.019	0.005
BTK	0.035	0	0	0.21	3.645	0.852	1.761	0.781	6.465	0	0
KRCC1	1.033	0.323	0.027	0.728	1.185	0.184	0.091	0	0.079	8.924	6.21
SYTL5	0	0	0	0.316	3.634	2.1	0.858	0	0	0.026	0.183
PRND	0	0	0	0.034	0.087	0.31	0.167	0.016	0.225	0.142	0.164
C6orf27	0	0	0	0	0.142	0.066	0	0	0	0	0
